"","study","germplasmName","trait","predicted.value","std.error","status"
"1","Adv_Scb_21","02-18228","FHB.DON.content...ppm.CO_321.0001154",0.868212795424013,0.263658018674105,"Estimable"
"2","Adv_Scb_21","02-18228","FHB.grain.incidence.....CO_321.0001155",3.96380170493981,5.99960596929241,"Estimable"
"3","Adv_Scb_21","02-18228","FHB.incidence.....CO_321.0001149",3.20074607967833,4.43921924933348,"Estimable"
"4","Adv_Scb_21","02-18228","FHB.severity.....CO_321.0001440",7.72245011601953,3.64240622364654,"Estimable"
"5","Adv_Scb_21","02-18228","Heading.time...Julian.date..JD..CO_321.0001233",134.535715492293,0.567245865225769,"Estimable"
"6","Adv_Scb_21","07-19334","FHB.DON.content...ppm.CO_321.0001154",1.38733804168751,0.263489630062161,"Estimable"
"7","Adv_Scb_21","07-19334","FHB.grain.incidence.....CO_321.0001155",11.7729755484222,5.9979620053809,"Estimable"
"8","Adv_Scb_21","07-19334","FHB.incidence.....CO_321.0001149",12.276104902069,4.43836165523692,"Estimable"
"9","Adv_Scb_21","07-19334","FHB.severity.....CO_321.0001440",8.07551762374707,3.64245652116184,"Estimable"
"10","Adv_Scb_21","07-19334","Heading.time...Julian.date..JD..CO_321.0001233",137.184465167797,0.56711465326541,"Estimable"
"11","Adv_Scb_21","07-4415","FHB.DON.content...ppm.CO_321.0001154",0.958665096547698,0.263865422812368,"Estimable"
"12","Adv_Scb_21","07-4415","FHB.grain.incidence.....CO_321.0001155",10.6122479535061,5.99775432862716,"Estimable"
"13","Adv_Scb_21","07-4415","FHB.incidence.....CO_321.0001149",4.99235207288195,4.43995660607516,"Estimable"
"14","Adv_Scb_21","07-4415","FHB.severity.....CO_321.0001440",8.84260297411723,3.64215081267143,"Estimable"
"15","Adv_Scb_21","07-4415","Heading.time...Julian.date..JD..CO_321.0001233",133.005598695369,0.56852313916135,"Estimable"
"16","Adv_Scb_21","17-17739","FHB.DON.content...ppm.CO_321.0001154",0.729499385340094,0.263488140882183,"Estimable"
"17","Adv_Scb_21","17-17739","FHB.grain.incidence.....CO_321.0001155",9.98694652778886,5.99387584977247,"Estimable"
"18","Adv_Scb_21","17-17739","FHB.incidence.....CO_321.0001149",5.31231943066549,4.43781450146581,"Estimable"
