"","study","germplasmName","trait","predicted.value","std.error","status"
"1","Adv_Urb_21","02-18228","Grain.yield...bu.ac",77.832751517043,3.63440679066823,"Estimable"
"2","Adv_Urb_21","02-18228","Heading.time...Julian.date..JD..CO_321.0001233",136.039523146662,0.536102008664811,"Estimable"
"3","Adv_Urb_21","02-18228","Grain.test.weight...lbs.bu",55.4780833212358,0.454315488867976,"Estimable"
"4","Adv_Urb_21","02-18228","Plant.height.inches",41.2511057197664,0.720604753410653,"Estimable"
"5","Adv_Urb_21","07-19334","Grain.yield...bu.ac",95.7497870512376,3.63003645663147,"Estimable"
"6","Adv_Urb_21","07-19334","Heading.time...Julian.date..JD..CO_321.0001233",138.621105400668,0.536164223682336,"Estimable"
"7","Adv_Urb_21","07-19334","Grain.test.weight...lbs.bu",54.1570246984098,0.453933476102368,"Estimable"
"8","Adv_Urb_21","07-19334","Plant.height.inches",39.668610556085,0.719901749986383,"Estimable"
"9","Adv_Urb_21","07-4415","Grain.yield...bu.ac",87.9581374804433,3.62362191096637,"Estimable"
"10","Adv_Urb_21","07-4415","Heading.time...Julian.date..JD..CO_321.0001233",134.02599818183,0.534278710999632,"Estimable"
"11","Adv_Urb_21","07-4415","Grain.test.weight...lbs.bu",52.8894936228211,0.457197268972239,"Estimable"
"12","Adv_Urb_21","07-4415","Plant.height.inches",38.4117918384678,0.720409760185539,"Estimable"
"13","Adv_Urb_21","17-17739","Grain.yield...bu.ac",91.3995233898921,3.61335955711655,"Estimable"
"14","Adv_Urb_21","17-17739","Heading.time...Julian.date..JD..CO_321.0001233",138.469065726683,0.53340961838696,"Estimable"
"15","Adv_Urb_21","17-17739","Grain.test.weight...lbs.bu",56.6929727289209,0.456609171483006,"Estimable"
"16","Adv_Urb_21","17-17739","Plant.height.inches",42.1908141287452,0.718398953075442,"Estimable"
"17","Adv_Urb_21","17-18534","Grain.yield...bu.ac",82.853870789124,3.62806597341011,"Estimable"
"18","Adv_Urb_21","17-18534","Heading.time...Julian.date..JD..CO_321.0001233",136.672404744633,0.535996372015316,"Estimable"
"19","Adv_Urb_21","17-18534","Grain.test.weight...lbs.bu",54.5674535569265,0.452884071805135,"Estimable"
"20","Adv_Urb_21","17-18534","Plant.height.inches",36.7949521468717,0.718974363685169,"Estimable"
"21","Adv_Urb_21","17-19355","Grain.yield...bu.ac",76.5303221804048,3.61061591347492,"Estimable"
"22","Adv_Urb_21","17-19355","Heading.time...Julian.date..JD..CO_321.0001233",136.883738538055,0.533483991488102,"Estimable"
"23","Adv_Urb_21","17-19355","Grain.test.weight...lbs.bu",54.7966338740645,0.456254381339114,"Estimable"
"24","Adv_Urb_21","17-19355","Plant.height.inches",38.3492689385254,0.718684145329003,"Estimable"
"25","Adv_Urb_21","17-23874","Grain.yield...bu.ac",86.8821844048983,3.62143785112194,"Estimable"
"26","Adv_Urb_21","17-23874","Heading.time...Julian.date..JD..CO_321.0001233",137.008985477874,0.533762994418414,"Estimable"
"27","Adv_Urb_21","17-23874","Grain.test.weight...lbs.bu",53.9340080439449,0.455502303344919,"Estimable"
"28","Adv_Urb_21","17-23874","Plant.height.inches",40.7696213366096,0.718165611323742,"Estimable"
"29","Adv_Urb_21","17-23902","Grain.yield...bu.ac",91.2920565169219,3.62848582188071,"Estimable"
"30","Adv_Urb_21","17-23902","Heading.time...Julian.date..JD..CO_321.0001233",135.679385500924,0.535938501273159,"Estimable"
"31","Adv_Urb_21","17-23902","Grain.test.weight...lbs.bu",54.884595394581,0.453267430248578,"Estimable"
"32","Adv_Urb_21","17-23902","Plant.height.inches",41.5786251870611,0.719322692661755,"Estimable"
"33","Adv_Urb_21","17-23904","Grain.yield...bu.ac",84.984888741795,3.60082264360604,"Estimable"
"34","Adv_Urb_21","17-23904","Heading.time...Julian.date..JD..CO_321.0001233",135.535763209423,0.533306326921298,"Estimable"
"35","Adv_Urb_21","17-23904","Grain.test.weight...lbs.bu",54.5900541899493,0.451350329848852,"Estimable"
"36","Adv_Urb_21","17-23904","Plant.height.inches",38.7248382287273,0.715429217191371,"Estimable"
"37","Adv_Urb_21","17-24508","Grain.yield...bu.ac",78.2646492911529,3.5970613475643,"Estimable"
"38","Adv_Urb_21","17-24508","Heading.time...Julian.date..JD..CO_321.0001233",132.407457169414,0.533672594955453,"Estimable"
"39","Adv_Urb_21","17-24508","Grain.test.weight...lbs.bu",54.6807709108882,0.451824830341093,"Estimable"
"40","Adv_Urb_21","17-24508","Plant.height.inches",38.3257203100219,0.716213689672257,"Estimable"
"41","Adv_Urb_21","17-24663","Grain.yield...bu.ac",87.8173482599332,3.63370233325485,"Estimable"
"42","Adv_Urb_21","17-24663","Heading.time...Julian.date..JD..CO_321.0001233",135.447513142702,0.536116719965318,"Estimable"
"43","Adv_Urb_21","17-24663","Grain.test.weight...lbs.bu",53.4685206407281,0.454067269348994,"Estimable"
"44","Adv_Urb_21","17-24663","Plant.height.inches",36.9305133601598,0.72024848328825,"Estimable"
"45","Adv_Urb_21","17-25205","Grain.yield...bu.ac",77.3294424492666,3.66721486860129,"Estimable"
"46","Adv_Urb_21","17-25205","Heading.time...Julian.date..JD..CO_321.0001233",136.235662873798,0.540128207120556,"Estimable"
"47","Adv_Urb_21","17-25205","Grain.test.weight...lbs.bu",54.4898009671148,0.466462306225582,"Estimable"
"48","Adv_Urb_21","17-25205","Plant.height.inches",37.4623478827606,0.73000377105764,"Estimable"
"49","Adv_Urb_21","17-25927","Grain.yield...bu.ac",78.7023121345213,3.63310096939232,"Estimable"
"50","Adv_Urb_21","17-25927","Heading.time...Julian.date..JD..CO_321.0001233",137.174168858197,0.536029166296842,"Estimable"
"51","Adv_Urb_21","17-25927","Grain.test.weight...lbs.bu",57.6940097495088,0.45512478750227,"Estimable"
"52","Adv_Urb_21","17-25927","Plant.height.inches",39.9736459276547,0.719517997383284,"Estimable"
"53","Adv_Urb_21","17-27559","Grain.yield...bu.ac",79.4153809178341,3.6325600910087,"Estimable"
"54","Adv_Urb_21","17-27559","Heading.time...Julian.date..JD..CO_321.0001233",136.301139668879,0.535930583666172,"Estimable"
"55","Adv_Urb_21","17-27559","Grain.test.weight...lbs.bu",55.2935628697107,0.454109248805078,"Estimable"
"56","Adv_Urb_21","17-27559","Plant.height.inches",38.3961148745686,0.719414140628344,"Estimable"
"57","Adv_Urb_21","17-27649","Grain.yield...bu.ac",77.4231379032507,3.56872385561625,"Estimable"
"58","Adv_Urb_21","17-27649","Heading.time...Julian.date..JD..CO_321.0001233",136.231206710006,0.529158689870693,"Estimable"
