"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","FHB DON content - ppm|CO_321:0001154","FHB grain incidence - %|CO_321:0001155","FHB incidence - %|CO_321:0001149","FHB severity - %|CO_321:0001440","Heading time - Julian date (JD)|CO_321:0001233","notes"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","85081","02-18228","IL02-18228","plot","282784","A5S_Scb_21-rep1-02-18228_120","1","1","120","4","3","check","","","","","","","","","","","0.35","5","2","7","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84968","07-19334","IL07-19334","plot","282738","A5S_Scb_21-rep1-07-19334_128","1","1","128","5","4","test","","","","","","","","","","","0.37","5","1","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84801","07-4415","IL07-4415","plot","282749","A5S_Scb_21-rep1-07-4415_114","1","1","114","3","2","check","","","","","","","","","","","0.43","10","5","7","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","94122","0762A1-2-8","","plot","282787","A5S_Scb_21-rep1-0762A1-2-8_104","1","1","104","4","1","test","","","","","","","","","","","0.47","30","2","7","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96752","16-23941","IL16-23941","plot","282735","A5S_Scb_21-rep1-16-23941_112","1","1","112","5","2","test","","","","","","","","","","","0.62","15","10","14","131",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96756","16-23972","IL16-23972","plot","282776","A5S_Scb_21-rep1-16-23972_105","1","1","105","5","1","test","","","","","","","","","","","0.33","15","10","7","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96907","16-36206","IL16-36206","plot","282772","A5S_Scb_21-rep1-16-36206_113","1","1","113","4","2","test","","","","","","","","","","","0.12","3","2","4","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96920","16-36752","","plot","282797","A5S_Scb_21-rep1-16-36752_108","1","1","108","8","1","test","","","","","","","","","","","0.89","15","10","14","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","98931","KY07C-1145-94-12-5","","plot","282766","A5S_Scb_21-rep1-KY07C-1145-94-12-5_126","1","1","126","7","4","test","","","","","","","","","","","0.94","10","5","14","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","99368","MI16R0898","","plot","282790","A5S_Scb_21-rep1-MI16R0898_122","1","1","122","6","3","test","","","","","","","","","","","2.1","20","33","33","139",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282721","MI18W0144","","plot","282757","A5S_Scb_21-rep1-MI18W0144_117","1","1","117","1","3","test","","","","","","","","","","","8.4","20","10","14","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282722","MI18W0200","","plot","282763","A5S_Scb_21-rep1-MI18W0200_102","1","1","102","2","1","test","","","","","","","","","","","11.1","40","70","50","133",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282723","MI18W0286","","plot","282737","A5S_Scb_21-rep1-MI18W0286_125","1","1","125","8","4","test","","","","","","","","","","","6.0","50","60","21","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282724","MI18W1044","","plot","282743","A5S_Scb_21-rep1-MI18W1044_119","1","1","119","3","3","test","","","","","","","","","","","4.6","15","20","33","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","100222","OH15-191-52","","plot","282734","A5S_Scb_21-rep1-OH15-191-52_106","1","1","106","6","1","test","","","","","","","","","","","0.86","5","5","7","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","240786","OH16-167-76","","plot","282756","A5S_Scb_21-rep1-OH16-167-76_107","1","1","107","7","1","test","","","","","","","","","","","2.5","25","60","21","136",""
