ent202122,Stage,germplasmName,Source.plotNumber,Source.observationUnitName,purdy.pedigree,Weight,notes,TreatedPackets,stg1increase,KY,OH,PU,UrbanaILYT,NeoILYT,StjILYT,StpILYT,BlvILYT,VT1,VT2,PacketsUsed,PacketsLeft,OHadv,MIadv,,
1,2,IL16LCSDH-01-T-863-52,102,DH_Urb_21-plot102,IL10-21934/IL13-1910,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
2,2,IL16LCSDH-01-T-863-53,103,DH_Urb_21-plot103,IL10-21934/IL13-1910,NA,,12,0,0,0,0,1,2,1,1,0,1,1,7,5,,,,
3,2,IL16LCSDH-01-T-863-58,106,DH_Urb_21-plot106,IL10-21934/IL13-1910,NA,,12,0,0,0,0,1,1,2,1,0,1,1,7,5,,,,
4,2,IL16LCSDH-01-T-863-63,111,DH_Urb_21-plot111,IL10-21934/IL13-1910,NA,,12,0,0,0,0,1,1,1,2,0,2,1,8,4,,,,
5,2,IL16LCSDH-01-T-863-69,114,DH_Urb_21-plot114,IL10-21934/IL13-1910,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
6,2,IL16LCSDH-01-T-863-87,120,DH_Urb_21-plot120,IL10-21934/IL13-1910,NA,,12,0,0,0,0,1,2,1,1,0,1,2,8,4,,,,
7,2,IL16LCSDH-01-T-863-92,204,DH_Urb_21-plot204,IL10-21934/IL13-1910,NA,,12,0,0,0,0,1,1,2,1,0,1,1,7,5,,,,
8,2,IL16LCSDH-01-T-863-121,213,DH_Urb_21-plot213,IL10-21934/IL13-1910,NA,,12,0,0,0,0,1,1,1,2,0,1,1,7,5,,,,
9,2,IL16LCSDH-02-T-864-20,313,DH_Urb_21-plot313,IL12-26448/IL13-1360,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
10,2,IL16LCSDH-02-T-864-24,315,DH_Urb_21-plot315,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,2,1,1,0,1,2,8,4,,,,
11,2,IL16LCSDH-02-T-864-27,316,DH_Urb_21-plot316,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,1,2,1,0,1,1,7,5,,,,
12,2,IL16LCSDH-02-T-864-29,317,DH_Urb_21-plot317,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,1,1,2,0,1,1,7,5,,,,
13,2,IL16LCSDH-02-T-864-37,320,DH_Urb_21-plot320,IL12-26448/IL13-1360,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
14,2,IL16LCSDH-02-T-864-38,401,DH_Urb_21-plot401,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,2,1,1,0,1,2,8,4,,,,
15,2,IL16LCSDH-02-T-864-54,406,DH_Urb_21-plot406,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,1,2,1,0,1,1,7,5,,,,
16,2,IL16LCSDH-02-T-864-59,407,DH_Urb_21-plot407,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,1,1,2,0,2,1,8,4,,,,
17,2,IL16LCSDH-02-T-864-60,408,DH_Urb_21-plot408,IL12-26448/IL13-1360,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
18,2,IL16LCSDH-02-T-864-63,409,DH_Urb_21-plot409,IL12-26448/IL13-1360,NA,,12,0,0,0,0,1,2,1,1,0,1,1,7,5,,,,
19,2,IL16LCSDH-03-T-865-35,410,DH_Urb_21-plot410,IL07-20743/IL07-4415//IL10-21937,NA,,12,0,0,0,0,1,1,2,1,0,1,1,7,5,,,,
20,2,IL16LCSDH-03-T-865-36,411,DH_Urb_21-plot411,IL07-20743/IL07-4415//IL10-21937,NA,,12,0,0,0,0,1,1,1,2,0,2,1,8,4,,,,
21,2,IL16LCSDH-03-T-865-39,412,DH_Urb_21-plot412,IL07-20743/IL07-4415//IL10-21937,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
22,2,IL16LCSDH-03-T-865-40,413,DH_Urb_21-plot413,IL07-20743/IL07-4415//IL10-21937,NA,,12,0,0,0,0,1,2,1,1,0,1,2,8,4,,,,
23,2,IL16LCSDH-03-T-865-46,417,DH_Urb_21-plot417,IL07-20743/IL07-4415//IL10-21937,NA,,12,0,0,0,0,1,1,2,1,0,1,1,7,5,,,,
24,2,IL16LCSDH-03-T-865-65,420,DH_Urb_21-plot420,IL07-20743/IL07-4415//IL10-21937,NA,,12,0,0,0,0,1,1,1,2,0,1,1,7,5,,,,
25,2,IL16LCSDH-04-T-2659-3,504,DH_Urb_21-plot504,IL14-28468/IL07-20728,NA,,12,0,0,0,0,2,1,1,1,0,1,1,7,5,,,,
