"","germplasmName","trait","predicted.value","std.error","status"
"1","17-2920","FHB.DON.content...ppm.",1.41423270381257,3.87689893339691,"Estimable"
"2","17-2920","FHB.grain.incidence.....",18.5157320932309,5.22129589988969,"Estimable"
"3","17-4326","FHB.DON.content...ppm.",1.74145856279008,3.87738048360307,"Estimable"
"4","17-4326","FHB.grain.incidence.....",30.8877919321279,5.28170614119116,"Estimable"
"5","17-5643","FHB.DON.content...ppm.",2.20965346630539,3.87696944469247,"Estimable"
"6","17-5643","FHB.grain.incidence.....",38.9889708747725,5.2499086194265,"Estimable"
"7","17-6412","FHB.DON.content...ppm.",1.2407195642455,3.87606776710912,"Estimable"
"8","17-6412","FHB.grain.incidence.....",17.2971416053942,5.05913381038023,"Estimable"
"9","17-6863","FHB.DON.content...ppm.",1.08316947066368,3.87428854192909,"Estimable"
"10","17-6863","FHB.grain.incidence.....",15.3600173927479,4.67044237908135,"Estimable"
"11","17-7136","FHB.DON.content...ppm.",1.61274464016808,3.87757637828883,"Estimable"
"12","17-7136","FHB.grain.incidence.....",24.6745156147956,5.37418810362345,"Estimable"
"13","17-7976","FHB.DON.content...ppm.",1.43468638509498,3.87758341887986,"Estimable"
"14","17-7976","FHB.grain.incidence.....",29.6414062393678,5.37835850256726,"Estimable"
"15","17-7978","FHB.DON.content...ppm.",1.95733492928843,3.8766807287944,"Estimable"
"16","17-7978","FHB.grain.incidence.....",33.719631791049,5.17323680519721,"Estimable"
"17","17-8004","FHB.DON.content...ppm.",1.2563412850905,3.87749260310891,"Estimable"
"18","17-8004","FHB.grain.incidence.....",24.9759427887512,5.36525632923219,"Estimable"
"19","17-8036","FHB.DON.content...ppm.",1.44429349755166,3.87562568382527,"Estimable"
"20","17-8036","FHB.grain.incidence.....",15.8286567420334,4.93689134756511,"Estimable"
"21","17-8143","FHB.DON.content...ppm.",1.69421854447592,3.8762335253709,"Estimable"
"22","17-8143","FHB.grain.incidence.....",24.0796782613408,5.08333226841464,"Estimable"
"23","17-8152","FHB.DON.content...ppm.",1.72156500224884,3.87639844393541,"Estimable"
"24","17-8152","FHB.grain.incidence.....",24.8023134558908,5.10668893757803,"Estimable"
"25","17-8620","FHB.DON.content...ppm.",0.720676740976993,3.87197846470226,"Estimable"
"26","17-8620","FHB.grain.incidence.....",23.1275440485075,4.46295896856325,"Estimable"
"27","17-8626","FHB.DON.content...ppm.",1.0125553205062,3.87191687333416,"Estimable"
