"Date of Download: 2022-07-18_18:14:27"
"Search Parameters: Data Level:all  Trait List:  Trial List:1357  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","FHB grain incidence - %|CO_321:0001155","FHB incidence - %|CO_321:0001149","FHB severity - %|CO_321:0001440","Heading time - Julian date (JD)|CO_321:0001233","notes"
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","292446","IL16LCSDH-09-T-2664-16","","plot","308529","IL_Scb_22-1","1","1","1","1","1","test","","30","","","137",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","271747","2020-2034","IL2020-2034","plot","308946","IL_Scb_22-10","1","1","10","10","1","test","","20","","","137",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","239663","19-19159","","plot","308739","IL_Scb_22-100","1","1","100","5","8","test","","7","","","136",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","292435","IL16LCSDH-06-T-2661-234","","plot","308775","IL_Scb_22-101","1","1","101","4","8","test","","5","","","136",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","272167","2020-6453","IL2020-6453","plot","308828","IL_Scb_22-102","1","1","102","3","8","test","","7","","","134",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","292419","IL16LCSDH-10-T-2665-75","","plot","308773","IL_Scb_22-103","1","1","103","2","8","test","","15","","","134",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","271776","2020-2318","IL2020-2318","plot","308669","IL_Scb_22-104","1","1","104","1","8","test","","35","","","134",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","239286","19-11773","","plot","308797","IL_Scb_22-105","1","1","105","1","9","test","","35","","","134",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","271831","2020-2775","IL2020-2775","plot","308846","IL_Scb_22-106","1","1","106","2","9","test","","25","","","135",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1357","IL_Scb_22","Scab resistance phenotyping trial for IL breeding lines","RCBD","","","","","","2021-October-04","","26","Urbana, IL","239797","19-21829","","plot","308822","IL_Scb_22-107","1","1","107","3","9","test","","15","","","135",""
