"","study","germplasmName","trait","predicted.value","std.error","status"
"1","IL_Scb_22","07-19334","FHB.grain.incidence.....CO_321.0001155",27.2100945582026,4.74756016232753,"Estimable"
"2","IL_Scb_22","07-19334","Heading.time...Julian.date..JD..CO_321.0001233",137.778892223022,0.315459812890296,"Estimable"
"3","IL_Scb_22","12-26004","FHB.grain.incidence.....CO_321.0001155",9.19472798185414,7.71080418775561,"Estimable"
"4","IL_Scb_22","12-26004","Heading.time...Julian.date..JD..CO_321.0001233",133.474402272552,0.519733505289345,"Estimable"
"5","IL_Scb_22","16-8048","FHB.grain.incidence.....CO_321.0001155",15.4746930264288,4.75140587675065,"Estimable"
"6","IL_Scb_22","16-8048","Heading.time...Julian.date..JD..CO_321.0001233",136.596188456304,0.315199618170966,"Estimable"
"7","IL_Scb_22","17-8930","FHB.grain.incidence.....CO_321.0001155",15.6294260466952,7.70995316945087,"Estimable"
"8","IL_Scb_22","17-8930","Heading.time...Julian.date..JD..CO_321.0001233",132.068270265701,0.519590739341652,"Estimable"
"9","IL_Scb_22","18-12001","FHB.grain.incidence.....CO_321.0001155",37.6538367573595,7.74256744656782,"Estimable"
"10","IL_Scb_22","18-12001","Heading.time...Julian.date..JD..CO_321.0001233",135.350198459288,0.520627314222924,"Estimable"
"11","IL_Scb_22","18-12756","FHB.grain.incidence.....CO_321.0001155",20.5089354083889,7.71706587225533,"Estimable"
"12","IL_Scb_22","18-12756","Heading.time...Julian.date..JD..CO_321.0001233",135.212045700903,0.519865496270944,"Estimable"
"13","IL_Scb_22","18-12809","FHB.grain.incidence.....CO_321.0001155",16.5486306267759,7.73015741203534,"Estimable"
"14","IL_Scb_22","18-12809","Heading.time...Julian.date..JD..CO_321.0001233",136.54453775074,0.520453643636393,"Estimable"
"15","IL_Scb_22","18-13748","FHB.grain.incidence.....CO_321.0001155",10.590854124992,7.70874437525953,"Estimable"
"16","IL_Scb_22","18-13748","Heading.time...Julian.date..JD..CO_321.0001233",136.061337790008,0.519670594936459,"Estimable"
"17","IL_Scb_22","18-13756","FHB.grain.incidence.....CO_321.0001155",16.4360961745917,7.73420948766142,"Estimable"
"18","IL_Scb_22","18-13756","Heading.time...Julian.date..JD..CO_321.0001233",135.271285265158,0.520857252110703,"Estimable"
"19","IL_Scb_22","18-13765","FHB.grain.incidence.....CO_321.0001155",13.8844711436345,7.73912583947146,"Estimable"
"20","IL_Scb_22","18-13765","Heading.time...Julian.date..JD..CO_321.0001233",135.690324527839,0.520731330713157,"Estimable"
"21","IL_Scb_22","18-13852","FHB.grain.incidence.....CO_321.0001155",38.2484075891727,7.75322715056813,"Estimable"
"22","IL_Scb_22","18-13852","Heading.time...Julian.date..JD..CO_321.0001233",137.963874854981,0.521571465716636,"Estimable"
"23","IL_Scb_22","18-13965","FHB.grain.incidence.....CO_321.0001155",6.07763618067035,7.71851764170215,"Estimable"
"24","IL_Scb_22","18-13965","Heading.time...Julian.date..JD..CO_321.0001233",136.557173631897,0.520034771824543,"Estimable"
"25","IL_Scb_22","18-14535","FHB.grain.incidence.....CO_321.0001155",5.87810224105477,7.72602091528241,"Estimable"
"26","IL_Scb_22","18-14535","Heading.time...Julian.date..JD..CO_321.0001233",135.237145350829,0.520044349637846,"Estimable"
"27","IL_Scb_22","18-15372","FHB.grain.incidence.....CO_321.0001155",28.9657368876167,7.72602868960558,"Estimable"
"28","IL_Scb_22","18-15372","Heading.time...Julian.date..JD..CO_321.0001233",134.459254911374,0.520200194854873,"Estimable"
"29","IL_Scb_22","18-16828","FHB.grain.incidence.....CO_321.0001155",16.2705432941474,7.73218176822627,"Estimable"
"30","IL_Scb_22","18-16828","Heading.time...Julian.date..JD..CO_321.0001233",135.536512966228,0.520379643629163,"Estimable"
"31","IL_Scb_22","18-17119","FHB.grain.incidence.....CO_321.0001155",26.5770798008224,7.73741295378449,"Estimable"
"32","IL_Scb_22","18-17119","Heading.time...Julian.date..JD..CO_321.0001233",134.505222477044,0.520625529390638,"Estimable"
"33","IL_Scb_22","18-17905","FHB.grain.incidence.....CO_321.0001155",30.6381270536852,7.7528788504376,"Estimable"
"34","IL_Scb_22","18-17905","Heading.time...Julian.date..JD..CO_321.0001233",135.369480173092,0.522971189805701,"Estimable"
"35","IL_Scb_22","18-22132","FHB.grain.incidence.....CO_321.0001155",14.507842374338,7.72475083589582,"Estimable"
"36","IL_Scb_22","18-22132","Heading.time...Julian.date..JD..CO_321.0001233",135.603365480481,0.52032062874178,"Estimable"
"37","IL_Scb_22","18-22767","FHB.grain.incidence.....CO_321.0001155",11.0962434769983,7.76957989037776,"Estimable"
"38","IL_Scb_22","18-22767","Heading.time...Julian.date..JD..CO_321.0001233",134.162861056401,0.523421309502378,"Estimable"
"39","IL_Scb_22","18-22976","FHB.grain.incidence.....CO_321.0001155",6.78952384314014,7.73965160431179,"Estimable"
"40","IL_Scb_22","18-22976","Heading.time...Julian.date..JD..CO_321.0001233",135.667162244526,0.520480624090006,"Estimable"
"41","IL_Scb_22","18-23224","FHB.grain.incidence.....CO_321.0001155",45.1690669376996,7.75696526291369,"Estimable"
"42","IL_Scb_22","18-23224","Heading.time...Julian.date..JD..CO_321.0001233",136.221049906097,0.521705957774786,"Estimable"
"43","IL_Scb_22","18-23760","FHB.grain.incidence.....CO_321.0001155",40.9571523812214,7.73692102988116,"Estimable"
"44","IL_Scb_22","18-23760","Heading.time...Julian.date..JD..CO_321.0001233",137.796989444796,0.520896287771943,"Estimable"
"45","IL_Scb_22","18-26037","FHB.grain.incidence.....CO_321.0001155",10.5790680172653,7.72288844521833,"Estimable"
"46","IL_Scb_22","18-26037","Heading.time...Julian.date..JD..CO_321.0001233",135.033389556607,0.52018879710429,"Estimable"
"47","IL_Scb_22","18-4910","FHB.grain.incidence.....CO_321.0001155",8.44878697017584,7.72743761816254,"Estimable"
"48","IL_Scb_22","18-4910","Heading.time...Julian.date..JD..CO_321.0001233",134.715235186946,0.520349164784895,"Estimable"
"49","IL_Scb_22","18-5737","FHB.grain.incidence.....CO_321.0001155",24.4628952541415,7.72762567801666,"Estimable"
"50","IL_Scb_22","18-5737","Heading.time...Julian.date..JD..CO_321.0001233",136.186331056004,0.520451059948441,"Estimable"
"51","IL_Scb_22","18-5837","FHB.grain.incidence.....CO_321.0001155",13.644509967608,7.73237718864604,"Estimable"
"52","IL_Scb_22","18-5837","Heading.time...Julian.date..JD..CO_321.0001233",135.041352921489,0.52052669149321,"Estimable"
"53","IL_Scb_22","18-6274","FHB.grain.incidence.....CO_321.0001155",22.834046043647,7.76412336077484,"Estimable"
"54","IL_Scb_22","18-6274","Heading.time...Julian.date..JD..CO_321.0001233",135.344392611054,0.523377513325084,"Estimable"
"55","IL_Scb_22","18-6852","FHB.grain.incidence.....CO_321.0001155",18.6756643870828,7.73009673422729,"Estimable"
"56","IL_Scb_22","18-6852","Heading.time...Julian.date..JD..CO_321.0001233",134.111412946569,0.520175196479372,"Estimable"
"57","IL_Scb_22","18-7928","FHB.grain.incidence.....CO_321.0001155",17.6550651307318,7.75851703039795,"Estimable"
"58","IL_Scb_22","18-7928","Heading.time...Julian.date..JD..CO_321.0001233",136.237817894143,0.521912537944178,"Estimable"
"59","IL_Scb_22","18-7943","FHB.grain.incidence.....CO_321.0001155",28.7543446679514,7.71704901527352,"Estimable"
"60","IL_Scb_22","18-7943","Heading.time...Julian.date..JD..CO_321.0001233",136.08802700206,0.519810220015207,"Estimable"
"61","IL_Scb_22","18-842","FHB.grain.incidence.....CO_321.0001155",28.344877299266,7.72771259966256,"Estimable"
"62","IL_Scb_22","18-842","Heading.time...Julian.date..JD..CO_321.0001233",136.361633339683,0.520422319227214,"Estimable"
"63","IL_Scb_22","18-9724","FHB.grain.incidence.....CO_321.0001155",31.2021045806902,7.74980787778371,"Estimable"
"64","IL_Scb_22","18-9724","Heading.time...Julian.date..JD..CO_321.0001233",135.489041849867,0.521143532877114,"Estimable"
"65","IL_Scb_22","18MSFRS-18","FHB.grain.incidence.....CO_321.0001155",14.236962867675,7.74451586882069,"Estimable"
"66","IL_Scb_22","18MSFRS-18","Heading.time...Julian.date..JD..CO_321.0001233",136.963582796437,0.520893472958399,"Estimable"
"67","IL_Scb_22","19-10123","FHB.grain.incidence.....CO_321.0001155",15.7993462517267,7.77013216407099,"Estimable"
"68","IL_Scb_22","19-10123","Heading.time...Julian.date..JD..CO_321.0001233",133.606749999257,0.523661168788779,"Estimable"
"69","IL_Scb_22","19-10136","FHB.grain.incidence.....CO_321.0001155",12.9872193993511,7.76862570138199,"Estimable"
"70","IL_Scb_22","19-10136","Heading.time...Julian.date..JD..CO_321.0001233",135.449493115665,0.523360412751962,"Estimable"
"71","IL_Scb_22","19-10142","FHB.grain.incidence.....CO_321.0001155",7.93826601981695,7.7347361337352,"Estimable"
"72","IL_Scb_22","19-10142","Heading.time...Julian.date..JD..CO_321.0001233",135.897526902573,0.520497548970586,"Estimable"
"73","IL_Scb_22","19-10151","FHB.grain.incidence.....CO_321.0001155",22.239659306447,7.72385446405029,"Estimable"
"74","IL_Scb_22","19-10151","Heading.time...Julian.date..JD..CO_321.0001233",136.518776587119,0.520298879857487,"Estimable"
"75","IL_Scb_22","19-10168","FHB.grain.incidence.....CO_321.0001155",21.2434611961281,7.72094949243993,"Estimable"
"76","IL_Scb_22","19-10168","Heading.time...Julian.date..JD..CO_321.0001233",136.60514992106,0.520093743996099,"Estimable"
"77","IL_Scb_22","19-10173","FHB.grain.incidence.....CO_321.0001155",12.6681022059249,7.73215227737515,"Estimable"
"78","IL_Scb_22","19-10173","Heading.time...Julian.date..JD..CO_321.0001233",135.014700584282,0.520560380974626,"Estimable"
"79","IL_Scb_22","19-10236","FHB.grain.incidence.....CO_321.0001155",10.3416646030334,7.72683788533726,"Estimable"
"80","IL_Scb_22","19-10236","Heading.time...Julian.date..JD..CO_321.0001233",135.692146585346,0.52030441023911,"Estimable"
"81","IL_Scb_22","19-11163","FHB.grain.incidence.....CO_321.0001155",15.1218137766825,7.72975589428119,"Estimable"
"82","IL_Scb_22","19-11163","Heading.time...Julian.date..JD..CO_321.0001233",134.798032869464,0.520245606072267,"Estimable"
"83","IL_Scb_22","19-11770","FHB.grain.incidence.....CO_321.0001155",6.50188455374736,7.7403045458127,"Estimable"
"84","IL_Scb_22","19-11770","Heading.time...Julian.date..JD..CO_321.0001233",135.966275606039,0.520731959614343,"Estimable"
"85","IL_Scb_22","19-11773","FHB.grain.incidence.....CO_321.0001155",29.6117872958206,7.76631819775022,"Estimable"
"86","IL_Scb_22","19-11773","Heading.time...Julian.date..JD..CO_321.0001233",135.26589913079,0.523372886954807,"Estimable"
"87","IL_Scb_22","19-12420","FHB.grain.incidence.....CO_321.0001155",12.6041298866478,7.71451377197872,"Estimable"
"88","IL_Scb_22","19-12420","Heading.time...Julian.date..JD..CO_321.0001233",135.11906666556,0.519912099824674,"Estimable"
"89","IL_Scb_22","19-12615","FHB.grain.incidence.....CO_321.0001155",20.0938348068666,7.73665959249021,"Estimable"
"90","IL_Scb_22","19-12615","Heading.time...Julian.date..JD..CO_321.0001233",135.505659596065,0.520517046592738,"Estimable"
"91","IL_Scb_22","19-12659","FHB.grain.incidence.....CO_321.0001155",9.96220081129042,7.72962908282935,"Estimable"
"92","IL_Scb_22","19-12659","Heading.time...Julian.date..JD..CO_321.0001233",133.580560545367,0.520309948033816,"Estimable"
"93","IL_Scb_22","19-12830","FHB.grain.incidence.....CO_321.0001155",25.849893847959,7.71935701989828,"Estimable"
"94","IL_Scb_22","19-12830","Heading.time...Julian.date..JD..CO_321.0001233",135.952424020818,0.520041293142212,"Estimable"
"95","IL_Scb_22","19-12849","FHB.grain.incidence.....CO_321.0001155",5.95410475292494,7.71449628781652,"Estimable"
"96","IL_Scb_22","19-12849","Heading.time...Julian.date..JD..CO_321.0001233",134.133111588741,0.519868766850419,"Estimable"
"97","IL_Scb_22","19-12926","FHB.grain.incidence.....CO_321.0001155",11.5965756176489,7.71478298794511,"Estimable"
"98","IL_Scb_22","19-12926","Heading.time...Julian.date..JD..CO_321.0001233",134.470384003242,0.519906809640732,"Estimable"
"99","IL_Scb_22","19-13048","FHB.grain.incidence.....CO_321.0001155",14.5722228650928,7.73024563699953,"Estimable"
"100","IL_Scb_22","19-13048","Heading.time...Julian.date..JD..CO_321.0001233",134.017885413534,0.520496894404858,"Estimable"
"101","IL_Scb_22","19-13414","FHB.grain.incidence.....CO_321.0001155",12.1258952134551,7.72540109341366,"Estimable"
"102","IL_Scb_22","19-13414","Heading.time...Julian.date..JD..CO_321.0001233",136.328919546852,0.520127636993234,"Estimable"
"103","IL_Scb_22","19-13434","FHB.grain.incidence.....CO_321.0001155",12.3728360388025,7.72238439320991,"Estimable"
"104","IL_Scb_22","19-13434","Heading.time...Julian.date..JD..CO_321.0001233",135.237219487579,0.520240891756753,"Estimable"
"105","IL_Scb_22","19-13447","FHB.grain.incidence.....CO_321.0001155",36.1527759511296,7.72329482291872,"Estimable"
"106","IL_Scb_22","19-13447","Heading.time...Julian.date..JD..CO_321.0001233",135.592200786834,0.520247446628437,"Estimable"
"107","IL_Scb_22","19-13451","FHB.grain.incidence.....CO_321.0001155",24.0879855485555,7.75457950185598,"Estimable"
"108","IL_Scb_22","19-13451","Heading.time...Julian.date..JD..CO_321.0001233",134.27188979487,0.523258000142547,"Estimable"
"109","IL_Scb_22","19-13706","FHB.grain.incidence.....CO_321.0001155",31.4685721719953,7.72890381894279,"Estimable"
"110","IL_Scb_22","19-13706","Heading.time...Julian.date..JD..CO_321.0001233",136.103893456899,0.520376093626197,"Estimable"
"111","IL_Scb_22","19-13707","FHB.grain.incidence.....CO_321.0001155",14.6661829259445,7.72103637341695,"Estimable"
"112","IL_Scb_22","19-13707","Heading.time...Julian.date..JD..CO_321.0001233",135.138142670409,0.520277980988825,"Estimable"
"113","IL_Scb_22","19-13713","FHB.grain.incidence.....CO_321.0001155",12.0185714030647,7.73133108765818,"Estimable"
"114","IL_Scb_22","19-13713","Heading.time...Julian.date..JD..CO_321.0001233",135.346701173271,0.520310558940896,"Estimable"
