"","study","germplasmName","trait","predicted.value","std.error","status"
"1","Pr_Stj_21","07-20728","Grain.yield...bu.ac",83.6023472634236,3.53678281954029,"Estimable"
"2","Pr_Stj_21","07-4415","Grain.yield...bu.ac",77.9933159229052,3.6812808464864,"Estimable"
"3","Pr_Stj_21","19-10123","Grain.yield...bu.ac",82.4582077944995,4.47579298010486,"Estimable"
"4","Pr_Stj_21","19-10136","Grain.yield...bu.ac",86.3961063104422,4.31123960683886,"Estimable"
"5","Pr_Stj_21","19-10141","Grain.yield...bu.ac",83.4718243242665,4.44572130860374,"Estimable"
"6","Pr_Stj_21","19-10142","Grain.yield...bu.ac",83.4667214841757,4.38925722402,"Estimable"
"7","Pr_Stj_21","19-10151","Grain.yield...bu.ac",82.1410662924672,3.79724769690482,"Estimable"
"8","Pr_Stj_21","19-10168","Grain.yield...bu.ac",87.0506562173279,4.68975621309718,"Estimable"
"9","Pr_Stj_21","19-10169","Grain.yield...bu.ac",88.3026327448385,4.60689537816769,"Estimable"
"10","Pr_Stj_21","19-10173","Grain.yield...bu.ac",80.8374300168403,4.50039705370666,"Estimable"
"11","Pr_Stj_21","19-10236","Grain.yield...bu.ac",74.7073897193122,4.92854461623967,"Estimable"
"12","Pr_Stj_21","19-10259","Grain.yield...bu.ac",78.6430484761606,3.42137682902003,"Estimable"
"13","Pr_Stj_21","19-10905","Grain.yield...bu.ac",74.2946318572296,5.36430783921195,"Estimable"
"14","Pr_Stj_21","19-11163","Grain.yield...bu.ac",86.5077296961026,4.78261342147621,"Estimable"
"15","Pr_Stj_21","19-11645","Grain.yield...bu.ac",72.904485975833,4.72974343301481,"Estimable"
"16","Pr_Stj_21","19-11647","Grain.yield...bu.ac",84.8387671730916,3.65610328333476,"Estimable"
"17","Pr_Stj_21","19-11770","Grain.yield...bu.ac",90.8986755363086,5.42873963301832,"Estimable"
"18","Pr_Stj_21","19-11773","Grain.yield...bu.ac",80.3258714908323,4.24224618940252,"Estimable"
"19","Pr_Stj_21","19-11804","Grain.yield...bu.ac",84.7856215889524,4.36984794851055,"Estimable"
"20","Pr_Stj_21","19-12420","Grain.yield...bu.ac",87.3360118076986,4.40032536818354,"Estimable"
"21","Pr_Stj_21","19-12604","Grain.yield...bu.ac",74.4579272463847,3.82383099042558,"Estimable"
"22","Pr_Stj_21","19-12615","Grain.yield...bu.ac",93.5261910877587,4.79156525587704,"Estimable"
"23","Pr_Stj_21","19-12622","Grain.yield...bu.ac",90.0226118352984,3.2969272927783,"Estimable"
"24","Pr_Stj_21","19-12659","Grain.yield...bu.ac",79.6808992180518,4.1535545014282,"Estimable"
"25","Pr_Stj_21","19-12749","Grain.yield...bu.ac",89.311453974571,4.46619551944459,"Estimable"
"26","Pr_Stj_21","19-12830","Grain.yield...bu.ac",96.0676188211893,4.45112590144198,"Estimable"
"27","Pr_Stj_21","19-12849","Grain.yield...bu.ac",85.4288983997513,4.38898165423967,"Estimable"
