"","plot_name","seedlot_name","accession_name","operator_name","amount","weight.g.","plot_number","row","range","harvest_seq","action"
"1","SI_Urb_22-1","SI_Urb_22-1","2020-528","Jessica Rutkoski",NA,0,1,1,1,1,"KEEP"
"2","SI_Urb_22-2","SI_Urb_22-2","2020-571","Jessica Rutkoski",NA,0,2,1,2,2,"KEEP"
"3","SI_Urb_22-3","SI_Urb_22-3","2020-602","Jessica Rutkoski",NA,0,3,1,3,3,"KEEP"
"4","SI_Urb_22-4","SI_Urb_22-4","2020-850","Jessica Rutkoski",NA,0,4,1,4,4,"KEEP"
"5","SI_Urb_22-5","SI_Urb_22-5","2020-927","Jessica Rutkoski",NA,0,5,1,5,5,"KEEP"
"6","SI_Urb_22-6","SI_Urb_22-6","2020-1128","Jessica Rutkoski",NA,0,6,1,6,6,"KEEP"
"7","SI_Urb_22-7","SI_Urb_22-7","2020-1149","Jessica Rutkoski",NA,0,7,1,7,7,"KEEP"
"8","SI_Urb_22-8","SI_Urb_22-8","2020-1314","Jessica Rutkoski",NA,0,8,1,8,8,"KEEP"
"9","SI_Urb_22-9","SI_Urb_22-9","2020-1362","Jessica Rutkoski",NA,0,9,1,9,9,"KEEP"
"10","SI_Urb_22-10","SI_Urb_22-10","2020-1511","Jessica Rutkoski",NA,0,10,1,10,10,"KEEP"
"11","SI_Urb_22-11","SI_Urb_22-11","2020-1534","Jessica Rutkoski",NA,0,11,1,11,11,"KEEP"
"12","SI_Urb_22-12","SI_Urb_22-12","2020-1578","Jessica Rutkoski",NA,0,12,1,12,12,"KEEP"
"13","SI_Urb_22-13","SI_Urb_22-13","2020-1643","Jessica Rutkoski",NA,0,13,1,13,13,"KEEP"
"14","SI_Urb_22-14","SI_Urb_22-14","2020-1739","Jessica Rutkoski",NA,0,14,1,14,14,"KEEP"
"15","SI_Urb_22-15","SI_Urb_22-15","2020-1747","Jessica Rutkoski",NA,0,15,1,15,15,"KEEP"
"16","SI_Urb_22-16","SI_Urb_22-16","2020-1759","Jessica Rutkoski",NA,0,16,1,16,16,"KEEP"
"17","SI_Urb_22-17","SI_Urb_22-17","2020-1761","Jessica Rutkoski",NA,0,17,1,17,17,"KEEP"
"18","SI_Urb_22-18","SI_Urb_22-18","2020-1842","Jessica Rutkoski",NA,0,18,1,18,18,"KEEP"
"19","SI_Urb_22-19","SI_Urb_22-19","2020-1847","Jessica Rutkoski",NA,0,19,1,19,19,"KEEP"
"20","SI_Urb_22-20","SI_Urb_22-20","2020-1862","Jessica Rutkoski",NA,0,20,1,20,20,"KEEP"
"21","SI_Urb_22-21","SI_Urb_22-21","2020-1865","Jessica Rutkoski",NA,0,21,1,21,21,"KEEP"
"22","SI_Urb_22-22","SI_Urb_22-22","2020-1908","Jessica Rutkoski",NA,0,22,1,22,22,"KEEP"
"23","SI_Urb_22-23","SI_Urb_22-23","2020-1919","Jessica Rutkoski",NA,0,23,1,23,23,"KEEP"
"24","SI_Urb_22-24","SI_Urb_22-24","2020-1956","Jessica Rutkoski",NA,0,24,1,24,24,"KEEP"
"25","SI_Urb_22-25","SI_Urb_22-25","2020-2010","Jessica Rutkoski",NA,0,25,1,25,25,"KEEP"
"26","SI_Urb_22-26","SI_Urb_22-26","2020-2032","Jessica Rutkoski",NA,0,26,1,26,26,"KEEP"
"27","SI_Urb_22-27","SI_Urb_22-27","2020-2034","Jessica Rutkoski",NA,0,27,1,27,27,"KEEP"
"28","SI_Urb_22-28","SI_Urb_22-28","2020-2037","Jessica Rutkoski",NA,0,28,1,28,28,"KEEP"
