site,loc,year,study,germplasmName,trait,predicted.value
OH_22,OH,22,YT1_OH_22,IL2021-41349,Grain.yield...bu.ac,51.6
OH_22,OH,22,YT1_OH_22,IL2021-3532,Grain.yield...bu.ac,51.9
OH_22,OH,22,YT1_OH_22,IL2021-6252,Grain.yield...bu.ac,52.9
OH_22,OH,22,YT1_OH_22,IL2021-3403,Grain.yield...bu.ac,52.9
OH_22,OH,22,YT1_OH_22,IL2021-24114,Grain.yield...bu.ac,53.3
OH_22,OH,22,YT1_OH_22,IL2021-33507,Grain.yield...bu.ac,54.5
OH_22,OH,22,YT1_OH_22,IL2021-40667,Grain.yield...bu.ac,54.6
OH_22,OH,22,YT1_OH_22,IL2021-1839,Grain.yield...bu.ac,55.9
OH_22,OH,22,YT1_OH_22,IL2021-16322,Grain.yield...bu.ac,57.5
OH_22,OH,22,YT1_OH_22,IL2021-15934,Grain.yield...bu.ac,60.2
OH_22,OH,22,YT1_OH_22,IL2021-3936,Grain.yield...bu.ac,62.7
OH_22,OH,22,YT1_OH_22,IL2021-28309,Grain.yield...bu.ac,28.9
OH_22,OH,22,YT1_OH_22,IL2021-12548,Grain.yield...bu.ac,32.7
OH_22,OH,22,YT1_OH_22,IL2021-31857,Grain.yield...bu.ac,33.0
OH_22,OH,22,YT1_OH_22,IL2021-44653,Grain.yield...bu.ac,37.1
OH_22,OH,22,YT1_OH_22,IL2021-31345,Grain.yield...bu.ac,37.9
OH_22,OH,22,YT1_OH_22,IL2021-22610,Grain.yield...bu.ac,40.4
OH_22,OH,22,YT1_OH_22,IL2021-36811,Grain.yield...bu.ac,45.0
OH_22,OH,22,YT1_OH_22,IL2021-39924,Grain.yield...bu.ac,45.1
OH_22,OH,22,YT1_OH_22,IL2021-27657,Grain.yield...bu.ac,45.3
OH_22,OH,22,YT1_OH_22,IL2021-34276,Grain.yield...bu.ac,45.5
OH_22,OH,22,YT1_OH_22,IL2021-16473,Grain.yield...bu.ac,45.8
OH_22,OH,22,YT1_OH_22,IL2021-21068,Grain.yield...bu.ac,45.9
OH_22,OH,22,YT1_OH_22,IL2021-40938,Grain.yield...bu.ac,46.1
OH_22,OH,22,YT1_OH_22,IL2021-27417,Grain.yield...bu.ac,46.1
OH_22,OH,22,YT1_OH_22,IL2021-36747,Grain.yield...bu.ac,54.6
OH_22,OH,22,YT1_OH_22,IL2021-15931,Grain.yield...bu.ac,56.5
OH_22,OH,22,YT1_OH_22,IL2021-26879,Grain.yield...bu.ac,58.8
OH_22,OH,22,YT1_OH_22,IL2021-45950,Grain.yield...bu.ac,64.6
OH_22,OH,22,YT1_OH_22,IL2021-47112,Grain.yield...bu.ac,43.6
OH_22,OH,22,YT1_OH_22,IL2021-43341,Grain.yield...bu.ac,56.0
OH_22,OH,22,YT1_OH_22,IL2021-44565,Grain.yield...bu.ac,57.7
OH_22,OH,22,YT1_OH_22,IL2021-42012,Grain.yield...bu.ac,65.5
OH_22,OH,22,YT1_OH_22,IL2021-16170,Grain.yield...bu.ac,53.6
OH_22,OH,22,YT1_OH_22,IL2021-33660,Grain.yield...bu.ac,47.3
OH_22,OH,22,YT1_OH_22,IL2021-28510,Grain.yield...bu.ac,50.1
OH_22,OH,22,YT1_OH_22,IL2021-34238,Grain.yield...bu.ac,4.3
OH_22,OH,22,YT1_OH_22,IL2021-21241,Grain.yield...bu.ac,31.9
OH_22,OH,22,YT1_OH_22,IL2021-39469,Grain.yield...bu.ac,34.1
OH_22,OH,22,YT1_OH_22,IL2021-1302,Grain.yield...bu.ac,34.8
OH_22,OH,22,YT1_OH_22,IL2021-4852,Grain.yield...bu.ac,35.7
OH_22,OH,22,YT1_OH_22,IL2021-39058,Grain.yield...bu.ac,36.3
OH_22,OH,22,YT1_OH_22,IL2021-25229,Grain.yield...bu.ac,37.7
OH_22,OH,22,YT1_OH_22,IL2021-16721,Grain.yield...bu.ac,39.0
OH_22,OH,22,YT1_OH_22,IL2021-29356,Grain.yield...bu.ac,39.1
OH_22,OH,22,YT1_OH_22,IL2021-16764,Grain.yield...bu.ac,39.6
OH_22,OH,22,YT1_OH_22,IL2021-22056,Grain.yield...bu.ac,39.7
OH_22,OH,22,YT1_OH_22,IL2021-28930,Grain.yield...bu.ac,40.5
OH_22,OH,22,YT1_OH_22,IL2021-29659,Grain.yield...bu.ac,40.8
OH_22,OH,22,YT1_OH_22,IL2021-2917,Grain.yield...bu.ac,40.9
OH_22,OH,22,YT1_OH_22,IL2021-1546,Grain.yield...bu.ac,42.4
OH_22,OH,22,YT1_OH_22,IL2021-46024,Grain.yield...bu.ac,42.5
OH_22,OH,22,YT1_OH_22,IL2021-7630,Grain.yield...bu.ac,43.4
OH_22,OH,22,YT1_OH_22,IL2021-39328,Grain.yield...bu.ac,43.5
OH_22,OH,22,YT1_OH_22,IL2021-30660,Grain.yield...bu.ac,43.8
OH_22,OH,22,YT1_OH_22,IL2021-31560,Grain.yield...bu.ac,44.2
OH_22,OH,22,YT1_OH_22,IL2021-23309,Grain.yield...bu.ac,45.4
OH_22,OH,22,YT1_OH_22,IL2021-42149,Grain.yield...bu.ac,45.6
OH_22,OH,22,YT1_OH_22,IL2021-38716,Grain.yield...bu.ac,45.7
OH_22,OH,22,YT1_OH_22,IL2021-43938,Grain.yield...bu.ac,46.3
OH_22,OH,22,YT1_OH_22,IL2021-13738,Grain.yield...bu.ac,46.5
OH_22,OH,22,YT1_OH_22,IL2021-26275,Grain.yield...bu.ac,46.9
OH_22,OH,22,YT1_OH_22,IL2021-24328,Grain.yield...bu.ac,47.0
OH_22,OH,22,YT1_OH_22,IL2021-43324,Grain.yield...bu.ac,47.2
OH_22,OH,22,YT1_OH_22,IL2021-14230,Grain.yield...bu.ac,47.9
OH_22,OH,22,YT1_OH_22,IL2021-4235,Grain.yield...bu.ac,48.1
OH_22,OH,22,YT1_OH_22,IL2021-17506,Grain.yield...bu.ac,48.6
OH_22,OH,22,YT1_OH_22,IL2021-31356,Grain.yield...bu.ac,48.7
OH_22,OH,22,YT1_OH_22,IL2021-27145,Grain.yield...bu.ac,48.7
OH_22,OH,22,YT1_OH_22,IL2021-44721,Grain.yield...bu.ac,48.9
OH_22,OH,22,YT1_OH_22,IL2021-16810,Grain.yield...bu.ac,49.0
OH_22,OH,22,YT1_OH_22,IL2021-46013,Grain.yield...bu.ac,49.8
OH_22,OH,22,YT1_OH_22,IL2021-33712,Grain.yield...bu.ac,50.1
OH_22,OH,22,YT1_OH_22,IL2021-13345,Grain.yield...bu.ac,50.6
OH_22,OH,22,YT1_OH_22,IL2021-38672,Grain.yield...bu.ac,51.1
OH_22,OH,22,YT1_OH_22,IL2021-38956,Grain.yield...bu.ac,51.8
OH_22,OH,22,YT1_OH_22,IL2021-37528,Grain.yield...bu.ac,51.9
OH_22,OH,22,YT1_OH_22,IL2021-14556,Grain.yield...bu.ac,52.0
OH_22,OH,22,YT1_OH_22,IL2021-6838,Grain.yield...bu.ac,52.2
OH_22,OH,22,YT1_OH_22,IL2021-15179,Grain.yield...bu.ac,52.4
OH_22,OH,22,YT1_OH_22,IL2021-43877,Grain.yield...bu.ac,53.0
OH_22,OH,22,YT1_OH_22,IL2021-2559,Grain.yield...bu.ac,53.1
OH_22,OH,22,YT1_OH_22,IL2021-36376,Grain.yield...bu.ac,53.2
OH_22,OH,22,YT1_OH_22,IL2021-16410,Grain.yield...bu.ac,53.9
OH_22,OH,22,YT1_OH_22,IL2021-2364,Grain.yield...bu.ac,54.0
OH_22,OH,22,YT1_OH_22,IL2021-31359,Grain.yield...bu.ac,54.5
OH_22,OH,22,YT1_OH_22,IL2021-16620,Grain.yield...bu.ac,54.6
OH_22,OH,22,YT1_OH_22,IL2021-28048,Grain.yield...bu.ac,55.6
OH_22,OH,22,YT1_OH_22,IL2021-42618,Grain.yield...bu.ac,55.7
OH_22,OH,22,YT1_OH_22,IL2021-1815,Grain.yield...bu.ac,55.8
OH_22,OH,22,YT1_OH_22,IL2021-34922,Grain.yield...bu.ac,56.0
OH_22,OH,22,YT1_OH_22,IL2021-30163,Grain.yield...bu.ac,56.8
OH_22,OH,22,YT1_OH_22,IL2021-46629,Grain.yield...bu.ac,57.8
OH_22,OH,22,YT1_OH_22,IL2021-26850,Grain.yield...bu.ac,59.3
OH_22,OH,22,YT1_OH_22,IL2021-36613,Grain.yield...bu.ac,60.8
OH_22,OH,22,YT1_OH_22,IL2021-8477,Grain.yield...bu.ac,61.3
OH_22,OH,22,YT1_OH_22,IL2021-13577,Grain.yield...bu.ac,63.1
OH_22,OH,22,YT1_OH_22,IL2021-41349,Plant.height.inches,39
OH_22,OH,22,YT1_OH_22,IL2021-3532,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,IL2021-3403,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-24114,Plant.height.inches,37
OH_22,OH,22,YT1_OH_22,IL2021-33507,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-40667,Plant.height.inches,38
OH_22,OH,22,YT1_OH_22,IL2021-1839,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-16322,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,IL2021-15934,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-3936,Plant.height.inches,32
OH_22,OH,22,YT1_OH_22,IL2021-28309,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-12548,Plant.height.inches,28
OH_22,OH,22,YT1_OH_22,IL2021-31857,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-44653,Plant.height.inches,32
OH_22,OH,22,YT1_OH_22,IL2021-31345,Plant.height.inches,37
OH_22,OH,22,YT1_OH_22,IL2021-36811,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,IL2021-39924,Plant.height.inches,39
OH_22,OH,22,YT1_OH_22,IL2021-27657,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-34276,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-21068,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-27417,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-36747,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-15931,Plant.height.inches,39
OH_22,OH,22,YT1_OH_22,IL2021-26879,Plant.height.inches,40
OH_22,OH,22,YT1_OH_22,IL2021-45950,Plant.height.inches,38
OH_22,OH,22,YT1_OH_22,IL2021-33945,Plant.height.inches,38
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,40
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,41
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,IL07-19334,Plant.height.inches,31
OH_22,OH,22,YT1_OH_22,IL2021-47112,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,DD1615-5-15-3,Plant.height.inches,40
OH_22,OH,22,YT1_OH_22,IL2021-43341,Plant.height.inches,40
OH_22,OH,22,YT1_OH_22,IL2021-42012,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,DD1615-5-15-3,Plant.height.inches,36
OH_22,OH,22,YT1_OH_22,IL2021-16170,Plant.height.inches,32
OH_22,OH,22,YT1_OH_22,IL2021-33660,Plant.height.inches,45
OH_22,OH,22,YT1_OH_22,IL2021-28510,Plant.height.inches,44
OH_22,OH,22,YT1_OH_22,IL2021-34238,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-21241,Plant.height.inches,35
OH_22,OH,22,YT1_OH_22,IL2021-39469,Plant.height.inches,38
OH_22,OH,22,YT1_OH_22,IL2021-1302,Plant.height.inches,37
OH_22,OH,22,YT1_OH_22,IL2021-4852,Plant.height.inches,33
OH_22,OH,22,YT1_OH_22,IL2021-39058,Plant.height.inches,38
OH_22,OH,22,YT1_OH_22,IL2021-25229,Plant.height.inches,40
OH_22,OH,22,YT1_OH_22,IL2021-16721,Plant.height.inches,33
