site,loc,year,study,germplasmName,trait,predicted.value
Lay_22,Lay,22,YT_Lay_22,Becks 726,Grain.yield...bu.ac,74.351798
Lay_22,Lay,22,YT_Lay_22,IL2021-44005,Grain.yield...bu.ac,72.71014532
Lay_22,Lay,22,YT_Lay_22,IL2021-47147,Grain.yield...bu.ac,86.05846934
Lay_22,Lay,22,YT_Lay_22,IL2021-30578,Grain.yield...bu.ac,96.00511681
Lay_22,Lay,22,YT_Lay_22,IL2021-30532,Grain.yield...bu.ac,79.07790627
Lay_22,Lay,22,YT_Lay_22,IL2021-28027,Grain.yield...bu.ac,94.08515359
Lay_22,Lay,22,YT_Lay_22,IL2021-1058,Grain.yield...bu.ac,95.25680361
Lay_22,Lay,22,YT_Lay_22,IL2021-3762,Grain.yield...bu.ac,79.89667677
Lay_22,Lay,22,YT_Lay_22,IL2021-44235,Grain.yield...bu.ac,88.74984629
Lay_22,Lay,22,YT_Lay_22,IL2021-44872,Grain.yield...bu.ac,77.55329721
Lay_22,Lay,22,YT_Lay_22,IL2021-28177,Grain.yield...bu.ac,91.58031506
Lay_22,Lay,22,YT_Lay_22,IL2021-46530,Grain.yield...bu.ac,70.20241122
Lay_22,Lay,22,YT_Lay_22,IL2021-44530,Grain.yield...bu.ac,82.80007355
Lay_22,Lay,22,YT_Lay_22,AG0762,Grain.yield...bu.ac,91.37666166
Lay_22,Lay,22,YT_Lay_22,IL2021-14669,Grain.yield...bu.ac,71.52716084
Lay_22,Lay,22,YT_Lay_22,IL2021-16226,Grain.yield...bu.ac,94.43954855
Lay_22,Lay,22,YT_Lay_22,IL2021-21769,Grain.yield...bu.ac,105.362741
Lay_22,Lay,22,YT_Lay_22,IL2021-35965,Grain.yield...bu.ac,94.99090204
Lay_22,Lay,22,YT_Lay_22,IL2021-12773,Grain.yield...bu.ac,102.2221421
Lay_22,Lay,22,YT_Lay_22,IL2021-10769,Grain.yield...bu.ac,64.12741967
Lay_22,Lay,22,YT_Lay_22,IL2021-45972,Grain.yield...bu.ac,85.73061465
Lay_22,Lay,22,YT_Lay_22,IL2021-37710,Grain.yield...bu.ac,63.66343923
Lay_22,Lay,22,YT_Lay_22,IL2021-40638,Grain.yield...bu.ac,84.50758775
Lay_22,Lay,22,YT_Lay_22,IL2021-7544,Grain.yield...bu.ac,82.02821901
Lay_22,Lay,22,YT_Lay_22,IL2021-32967,Grain.yield...bu.ac,85.26812625
Lay_22,Lay,22,YT_Lay_22,IL2021-30921,Grain.yield...bu.ac,97.45897983
Lay_22,Lay,22,YT_Lay_22,IL2021-26279,Grain.yield...bu.ac,91.0318583
Lay_22,Lay,22,YT_Lay_22,IL2021-29563,Grain.yield...bu.ac,94.62943788
Lay_22,Lay,22,YT_Lay_22,IL2021-44705,Grain.yield...bu.ac,100.7156293
Lay_22,Lay,22,YT_Lay_22,IL2021-12361,Grain.yield...bu.ac,79.7478568
Lay_22,Lay,22,YT_Lay_22,IL2021-13713,Grain.yield...bu.ac,75.69466357
Lay_22,Lay,22,YT_Lay_22,IL2021-15576,Grain.yield...bu.ac,81.75256158
Lay_22,Lay,22,YT_Lay_22,IL2021-13615,Grain.yield...bu.ac,89.46677297
Lay_22,Lay,22,YT_Lay_22,IL2021-15152,Grain.yield...bu.ac,72.97656377
Lay_22,Lay,22,YT_Lay_22,IL2021-16419,Grain.yield...bu.ac,74.72997294
Lay_22,Lay,22,YT_Lay_22,IL2021-29158,Grain.yield...bu.ac,89.87795877
Lay_22,Lay,22,YT_Lay_22,Hilliard,Grain.yield...bu.ac,113.3447745
Lay_22,Lay,22,YT_Lay_22,IL2021-24956,Grain.yield...bu.ac,98.07187438
Lay_22,Lay,22,YT_Lay_22,IL2021-1438,Grain.yield...bu.ac,91.96976089
Lay_22,Lay,22,YT_Lay_22,IL2021-3428,Grain.yield...bu.ac,66.73642965
Lay_22,Lay,22,YT_Lay_22,IL2021-5801,Grain.yield...bu.ac,77.01618085
Lay_22,Lay,22,YT_Lay_22,IL2021-8729,Grain.yield...bu.ac,84.16293565
Lay_22,Lay,22,YT_Lay_22,AG0762,Grain.yield...bu.ac,88.98835785
Lay_22,Lay,22,YT_Lay_22,IL2021-42045,Grain.yield...bu.ac,88.69595699
Lay_22,Lay,22,YT_Lay_22,IL2021-14925,Grain.yield...bu.ac,90.79981217
Lay_22,Lay,22,YT_Lay_22,IL2021-12925,Grain.yield...bu.ac,95.30035131
Lay_22,Lay,22,YT_Lay_22,IL2021-24143,Grain.yield...bu.ac,109.8620266
Lay_22,Lay,22,YT_Lay_22,IL2021-13805,Grain.yield...bu.ac,96.19975931
Lay_22,Lay,22,YT_Lay_22,IL2021-26838,Grain.yield...bu.ac,97.09430009
Lay_22,Lay,22,YT_Lay_22,IL2021-14713,Grain.yield...bu.ac,77.55435546
Lay_22,Lay,22,YT_Lay_22,IL2021-15944,Grain.yield...bu.ac,89.89126965
Lay_22,Lay,22,YT_Lay_22,AG0762,Grain.yield...bu.ac,85.79333152
Lay_22,Lay,22,YT_Lay_22,IL2021-31473,Grain.yield...bu.ac,80.68640847
Lay_22,Lay,22,YT_Lay_22,IL2021-40930,Grain.yield...bu.ac,85.69689329
Lay_22,Lay,22,YT_Lay_22,IL2021-40042,Grain.yield...bu.ac,75.80910055
Lay_22,Lay,22,YT_Lay_22,IL2021-43257,Grain.yield...bu.ac,92.40013632
Lay_22,Lay,22,YT_Lay_22,IL2021-269,Grain.yield...bu.ac,86.78575823
Lay_22,Lay,22,YT_Lay_22,IL2021-34115,Grain.yield...bu.ac,86.29230038
Lay_22,Lay,22,YT_Lay_22,IL2021-2944,Grain.yield...bu.ac,90.92236075
Lay_22,Lay,22,YT_Lay_22,IL2021-33875,Grain.yield...bu.ac,71.33047288
Lay_22,Lay,22,YT_Lay_22,IL2021-20508,Grain.yield...bu.ac,67.85568813
Lay_22,Lay,22,YT_Lay_22,IL2021-36441,Grain.yield...bu.ac,93.12047192
Lay_22,Lay,22,YT_Lay_22,IL2021-16421,Grain.yield...bu.ac,81.647629
