site,loc,year,study,germplasmName,trait,predicted.value
Lex_22,Lex,22,YT1_Lex_22,IL2021-43336,Grain.yield...bu.ac,68.15
Lex_22,Lex,22,YT1_Lex_22,IL2021-24324,Grain.yield...bu.ac,62.94
Lex_22,Lex,22,YT1_Lex_22,IL2021-8468,Grain.yield...bu.ac,71.26
Lex_22,Lex,22,YT1_Lex_22,IL2021-28432,Grain.yield...bu.ac,67.33
Lex_22,Lex,22,YT1_Lex_22,IL2021-15201,Grain.yield...bu.ac,65.92
Lex_22,Lex,22,YT1_Lex_22,IL2021-43972,Grain.yield...bu.ac,84.18
Lex_22,Lex,22,YT1_Lex_22,IL2021-15963,Grain.yield...bu.ac,65.2
Lex_22,Lex,22,YT1_Lex_22,IL2021-19808,Grain.yield...bu.ac,70.26
Lex_22,Lex,22,YT1_Lex_22,TRUMAN,Grain.yield...bu.ac,70.35
Lex_22,Lex,22,YT1_Lex_22,IL2021-29545,Grain.yield...bu.ac,67.19
Lex_22,Lex,22,YT1_Lex_22,IL2021-40753,Grain.yield...bu.ac,70.49
Lex_22,Lex,22,YT1_Lex_22,IL2021-3902,Grain.yield...bu.ac,79.67
Lex_22,Lex,22,YT1_Lex_22,PIO 2641,Grain.yield...bu.ac,82.92
Lex_22,Lex,22,YT1_Lex_22,IL2021-1141,Grain.yield...bu.ac,81.75
Lex_22,Lex,22,YT1_Lex_22,IL2021-12459,Grain.yield...bu.ac,66.1
Lex_22,Lex,22,YT1_Lex_22,IL2021-3613,Grain.yield...bu.ac,73.21
Lex_22,Lex,22,YT1_Lex_22,IL2021-36756,Grain.yield...bu.ac,79.91
Lex_22,Lex,22,YT1_Lex_22,IL2021-39342,Grain.yield...bu.ac,72.48
Lex_22,Lex,22,YT1_Lex_22,IL2021-6132,Grain.yield...bu.ac,73.81
Lex_22,Lex,22,YT1_Lex_22,IL2021-43265,Grain.yield...bu.ac,80.19
Lex_22,Lex,22,YT1_Lex_22,IL2021-13951,Grain.yield...bu.ac,59.05
Lex_22,Lex,22,YT1_Lex_22,IL2021-1820,Grain.yield...bu.ac,62.24
Lex_22,Lex,22,YT1_Lex_22,IL2021-25478,Grain.yield...bu.ac,60.44
Lex_22,Lex,22,YT1_Lex_22,PEM21,Grain.yield...bu.ac,76.79
Lex_22,Lex,22,YT1_Lex_22,IL2021-4279,Grain.yield...bu.ac,70.27
Lex_22,Lex,22,YT1_Lex_22,IL2021-31425,Grain.yield...bu.ac,59.82
Lex_22,Lex,22,YT1_Lex_22,IL2021-34322,Grain.yield...bu.ac,73.2
Lex_22,Lex,22,YT1_Lex_22,IL2021-46550,Grain.yield...bu.ac,64.1
Lex_22,Lex,22,YT1_Lex_22,TRUMAN,Grain.yield...bu.ac,68.9
Lex_22,Lex,22,YT1_Lex_22,IL2021-45901,Grain.yield...bu.ac,58.5
Lex_22,Lex,22,YT1_Lex_22,IL2021-115,Grain.yield...bu.ac,62.25
Lex_22,Lex,22,YT1_Lex_22,IL2021-44535,Grain.yield...bu.ac,90.62
Lex_22,Lex,22,YT1_Lex_22,IL2021-3526,Grain.yield...bu.ac,59.54
Lex_22,Lex,22,YT1_Lex_22,IL2021-25933,Grain.yield...bu.ac,60.31
Lex_22,Lex,22,YT1_Lex_22,IL2021-14676,Grain.yield...bu.ac,73.54
Lex_22,Lex,22,YT1_Lex_22,IL2021-33348,Grain.yield...bu.ac,66.94
Lex_22,Lex,22,YT1_Lex_22,IL2021-9524,Grain.yield...bu.ac,56.17
Lex_22,Lex,22,YT1_Lex_22,IL2021-7627,Grain.yield...bu.ac,58.31
Lex_22,Lex,22,YT1_Lex_22,IL2021-31563,Grain.yield...bu.ac,66.5
Lex_22,Lex,22,YT1_Lex_22,IL2021-40320,Grain.yield...bu.ac,57.31
Lex_22,Lex,22,YT1_Lex_22,IL2021-29313,Grain.yield...bu.ac,67.68
Lex_22,Lex,22,YT1_Lex_22,IL2021-30179,Grain.yield...bu.ac,60.66
