"","germplasmName","Stage","purdy.pedigree","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit","DON_AdvScb20","DON_AdvScb21","DON_PrScb20","DON_PrScb21","FDK_AdvScb20","FDK_AdvScb21","FDK_PrScb20","FDK_PrScb21","heading_AdvHYUrb20","heading_AdvNeo21","heading_AdvScb20","heading_AdvScb21","heading_AdvUrb20","heading_AdvUrb21","heading_PrNeo21","heading_PrScb20","heading_PrScb21","heading_PrUrb20","heading_PrUrb21","heading_YTNeo22","heading_YTUrb22","height_AdvHYUrb20","height_AdvNeo20","height_AdvNeo21","height_AdvUrb20","height_AdvUrb21","height_PrNeo20","height_PrNeo21","height_PrUrb20","height_PrUrb21","height_YTNeo22","height_YTUrb22","tw_AdvCar20","tw_AdvHYUrb20","tw_AdvNeo20","tw_AdvNeo21","tw_AdvScb20","tw_AdvStJ20","tw_AdvStj21","tw_AdvUrb20","tw_AdvUrb21","tw_PrCar20","tw_PrNeo20","tw_PrNeo21","tw_PrScb20","tw_PrStj20","tw_PrStj21","tw_PrUrb20","tw_PrUrb21","tw_YTBlv22","tw_YTNeo22","tw_YTStj22","tw_YTStp22","tw_YTUrb22","yield_AdvCar20","yield_AdvHYUrb20","yield_AdvNeo20","yield_AdvNeo21","yield_AdvStJ20","yield_AdvStj21","yield_AdvUrb20","yield_AdvUrb21","yield_PrCar20","yield_PrNeo20","yield_PrNeo21","yield_PrStj20","yield_PrStj21","yield_PrUrb20","yield_PrUrb21","yield_YTBlv22","yield_YTNeo22","yield_YTStj22","yield_YTStp22","yield_YTUrb22","sbmv22","lgiWt","sincWt","mincWt"
"1","07-19334",0,"01-36115 / 79-008T-B-B, IL01-36115 /IL79-008T-B-B",58.8915902047025,90.4057561334971,136.022870238429,38.2410040092361,1.27600117800383,11.8551130398762,509.017092764267,1.15000000000002,1.38733804168751,NA,NA,11.6666666666666,11.7729755484222,NA,NA,138.470758004563,134.331325819893,140,137.184465167797,140.640686932928,138.621105400668,NA,NA,NA,NA,NA,134.1856702,135.8426689,36.7056379320023,35.4246803908114,39.5867288220846,34.0348773358319,39.668610556085,NA,NA,NA,NA,40.18052545,39.50986462,56.2317738099192,57.580678373421,58.243101955494,57.083193409678,58.0071294954647,59.6981118261301,58.1973457295249,56.5040905456452,54.1570246984098,NA,NA,NA,NA,NA,NA,NA,NA,61.02232302,60.96311626,58.59303664,61.97166282,61.16920984,108.125823666034,102.676685728891,74.8368461144068,88.4025774481329,85.4198019960128,94.1812356012152,81.6116724038586,95.7497870512376,NA,NA,NA,NA,NA,NA,NA,80.65203112,107.3201519,73.47790492,94.96810428,106.1412729,3.43084066749625,85,0,0
"2","12-26004",0,"01-34159/ 00-8061// 06-7550",58.276270117627,81.1749556244547,130.769461629406,35.4526144562321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.0934861,130.9196617,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.22089847,37.91917127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.64337713,60.51585424,56.54010425,60.64714039,61.40218687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.10118544,104.7235713,71.01905615,87.73967714,87.12259917,2.18434887445714,0,0,0
"3","16-23941",5,"00-8641/07-20728//07-4415",58.3415428275036,87.6895898187874,130.000595407715,35.9924679088322,1.68860465198301,21.8632894450602,513.018001538457,1.90000000000002,NA,NA,NA,20,NA,NA,NA,128.984773321938,NA,135.333333333333,NA,133.301676978554,NA,NA,NA,NA,NA,NA,NA,NA,35.2123013961162,32.4191617031996,NA,31.9387192096306,NA,NA,NA,NA,NA,NA,NA,59.6376062430737,56.0913585502848,57.0164553975162,NA,56.4533670982647,58.3455649558379,NA,56.3611216549737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3997221934049,93.6154580230559,58.8124911519359,NA,82.5179129347221,NA,73.1763176674497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,0
"4","16-23972",5,"00-8641/07-20728//07-4415,IL00-8641/IL07-20728//IL07-4415",59.0317980097075,86.9003004858584,133.368699129843,35.8232360825916,0.64777779044129,8.23767682675374,517.742600977048,0.680000000000018,NA,NA,NA,2.75495292017187,NA,NA,NA,133.933434644376,NA,137,NA,137.144487276621,NA,NA,NA,NA,NA,NA,NA,NA,33.4338481680316,32.5783764886272,NA,31.5225034679232,NA,NA,NA,NA,NA,NA,NA,61.9923643613877,58.5821894183681,58.2311883324932,NA,57.2820403767714,60.2357904916903,NA,54.9992322981688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.107360405647,78.209339195615,69.0094333784128,NA,90.6503647626704,NA,64.215500919815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,0
"5","16-36752",5,"07-4415/109-28111",58.4469360229612,97.8688726148126,134.348480370043,37.8100302630536,1.73926037652043,23.1711847087078,541.575167550101,2.15000000000002,NA,NA,NA,21.6666666666666,NA,NA,NA,134.98212295126,NA,137.666666666667,NA,137.801676978555,NA,NA,NA,NA,NA,NA,NA,NA,35.5664379355749,34.1285937021066,NA,34.9387208296306,NA,NA,NA,NA,NA,NA,NA,58.5791553594928,59.4750112572962,57.8410284880187,NA,55.935446299198,58.672996637263,NA,55.176043037925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3253604114205,113.552296988914,77.414609536278,NA,83.2908285344552,NA,83.3028176650253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,0
"6","16-8048",0,"07-12948/07-4415",59.145020366447,91.9987778967508,134.278694403731,37.5055048262269,0.91453213609012,9.23095561305767,536.035977573947,0.795000000000019,NA,NA,NA,4.3333333333333,NA,NA,NA,135.628911077862,NA,137.333333333333,NA,136.817611165804,NA,NA,NA,NA,NA,NA,134.0939488,135.5543029,37.5818709582703,34.4437619076424,NA,33.3694701971106,NA,NA,NA,NA,NA,39.1869586,38.04036567,61.1098071463274,60.8429713409501,57.8569451186446,NA,58.110713655278,60.2017953798801,NA,56.5026606362312,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.68106096,60.33315294,57.88748066,61.8424822,62.26948043,92.1136673808534,106.967220053942,75.2857648421033,NA,92.1392538286221,NA,81.2554366366039,NA,NA,NA,NA,NA,NA,NA,NA,96.81827486,106.8868561,79.27158964,88.95435228,109.0069257,2.93224395028061,99,0,0
"7","17-17739",5,"07-24841/02-18228//07-4415,IL07-24841/IL02-18228//IL07-4415",60.6876084680099,90.6329747447312,135.988286078604,40.3484562042086,0.778660692620286,5.73830923548839,523.913765873098,0.595000000000018,0.729499385340094,NA,NA,2.3333333333333,9.98694652778886,NA,NA,136.436085015055,131.542993522653,137.333333333333,136.196762690974,139.186839875005,138.469065726683,NA,NA,NA,NA,NA,NA,NA,39.5797151385729,37.3689479997203,40.7515464033158,37.5836189087347,42.1908141287452,NA,NA,NA,NA,NA,NA,60.1117022440595,61.6538884051809,58.5340199303853,59.6896505487441,59.353723573038,60.7259239483334,61.2006292613406,59.5279485702009,56.6929727289209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.761722198878,104.430500231155,71.8378149915337,78.1306979700854,75.4861280097442,92.0085963171572,83.034307010989,91.3995233898921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,0,0
"8","17-23874",5,"08-33373/10-32543//00-8641,IL08-33373/IL10-32543//IL00-8641",58.1988025460827,92.851583791015,135.427980142317,37.9747914972037,2.06898232619219,23.4576490527308,502.472913651053,2.00000000000002,2.40449510263893,NA,NA,16.6666666666667,23.316958587193,NA,NA,135.98212295126,132.417570588802,138,137.101157184276,138.144487276621,137.008985477874,NA,NA,NA,NA,NA,NA,NA,38.5664395555749,31.9492776252541,38.6195999846997,35.5225056279231,40.7696213366096,NA,NA,NA,NA,NA,NA,59.8329679437027,58.2780818536109,57.6362157645768,55.1988187878265,56.867703737518,58.244858414427,57.5243548836066,57.1086722379139,53.9340080439449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1197125582667,93.0637970007353,64.6986198118098,85.7053271369885,91.121364763595,99.7941265508693,84.9395009233257,86.8821844048983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,0
"9","17-23904",5,"08-33373/10-32543//00-8641",59.0231724655721,91.2100864573822,132.391326885413,36.9924614200535,1.92638629324358,24.5574248796125,512.388343762447,2.15000000000002,1.77756726828118,NA,NA,36.6666666666667,15.5213914233002,NA,NA,132.32662024864,127.1506183112,135.333333333333,134.678891444192,134.301676978554,135.535763209423,NA,NA,NA,NA,NA,NA,NA,37.8360702598482,32.4246787708114,37.711786801812,33.9387202896306,38.7248382287273,NA,NA,NA,NA,NA,NA,58.1946811448439,59.133683820949,58.2995003011781,56.9379196235451,58.0071294954647,60.9036384114698,58.9006751938756,55.507865052097,54.5900541899493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8201673896752,94.9769237091016,62.8263461131325,93.7869018203632,91.3652027046432,91.7233529835562,79.2993176646006,84.984888741795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,0,0
"10","17-8626",5,"07-4415/07-20728",59.5501920064257,84.7682559979764,130.866203717513,35.1248800184009,1.00885154892916,15.738546964497,508.247734290361,1.20000000000002,0.993094933986796,NA,NA,21.6666666666667,13.4627108585556,NA,NA,129.628911077862,124.705997517398,132.666666666667,129.413439543734,134.321411509496,134.202325089711,NA,NA,NA,NA,NA,NA,NA,34.0818690682702,32.0537770941845,35.6936635714913,32.8570974092019,35.3948756063803,NA,NA,NA,NA,NA,NA,60.920282519104,60.914076053001,58.9210300259823,57.199780570033,58.3178819749047,60.9391907674953,59.4620659573979,56.775420314328,54.6847031122805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7840647071124,85.7722200495063,70.4341596862082,84.4189867474909,84.5357026986704,80.7558466107443,71.8662651534099,78.6963478364417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,0
