"","germplasmName","trait","predicted.value","std.error","status"
"1","02-18228","Grain.test.weight...lbs.bu",60.3424862686988,1.91028360563574,"Estimable"
"2","02-18228","Grain.yield...bu.ac",82.2542977664546,2.37546780760783,"Estimable"
"3","02-18228","Heading.time...Julian.date..JD..",133.059136409425,2.95469270211506,"Estimable"
"4","02-18228","Plant.height.inches",38.7971995668682,2.70461201403733,"Estimable"
"5","07-19334","Grain.test.weight...lbs.bu",58.8915902047025,1.89704943231454,"Estimable"
"6","07-19334","Grain.yield...bu.ac",90.4057561334971,2.14499895842464,"Estimable"
"7","07-19334","Heading.time...Julian.date..JD..",136.022870238429,2.93917833655305,"Estimable"
"8","07-19334","Plant.height.inches",38.2410040092361,2.69389795034676,"Estimable"
"9","07-20728","Grain.test.weight...lbs.bu",60.4134277171233,1.9066728863919,"Estimable"
"10","07-20728","Grain.yield...bu.ac",81.9940526996245,2.42436281267506,"Estimable"
"11","07-20728","Heading.time...Julian.date..JD..",135.615686531094,2.95775596645094,"Estimable"
"12","07-20728","Plant.height.inches",38.0360195918713,2.72842000122229,"Estimable"
"13","07-4415","Grain.test.weight...lbs.bu",56.987672714417,1.9026028235895,"Estimable"
"14","07-4415","Grain.yield...bu.ac",84.8618823050192,2.15819431440947,"Estimable"
"15","07-4415","Heading.time...Julian.date..JD..",131.247407261347,2.94755187695512,"Estimable"
"16","07-4415","Plant.height.inches",36.7990004465514,2.69757237568516,"Estimable"
"17","12-26004","Grain.test.weight...lbs.bu",58.276270117627,1.90582204228073,"Estimable"
"18","12-26004","Grain.yield...bu.ac",81.1749556244547,2.34803975070303,"Estimable"
"19","12-26004","Heading.time...Julian.date..JD..",130.769461629406,2.95565507789884,"Estimable"
"20","12-26004","Plant.height.inches",35.4526144562321,2.74163490018425,"Estimable"
"21","16-10427","Grain.test.weight...lbs.bu",58.6808283901545,1.92762842409357,"Estimable"
"22","16-10427","Grain.yield...bu.ac",82.7274500345223,2.67115400784171,"Estimable"
"23","16-10427","Heading.time...Julian.date..JD..",131.208066632693,2.99531914291328,"Estimable"
"24","16-10427","Plant.height.inches",36.8874194602093,2.73687032476163,"Estimable"
"25","16-11226","Grain.test.weight...lbs.bu",59.0262371882054,1.93727301649485,"Estimable"
"26","16-11226","Grain.yield...bu.ac",75.639362581229,2.68517617790504,"Estimable"
"27","16-11226","Heading.time...Julian.date..JD..",131.667693813611,2.99532451725546,"Estimable"
"28","16-11226","Plant.height.inches",35.932074340196,2.73687221701666,"Estimable"
"29","16-12770","Grain.test.weight...lbs.bu",58.308308497452,1.93798619874866,"Estimable"
"30","16-12770","Grain.yield...bu.ac",73.9065149627107,2.67115247285863,"Estimable"
"31","16-12770","Heading.time...Julian.date..JD..",129.868477798713,2.99532212713418,"Estimable"
"32","16-12770","Plant.height.inches",32.018251543815,2.73687555513857,"Estimable"
"33","16-12830","Grain.test.weight...lbs.bu",59.3057665402826,1.93491877176259,"Estimable"
"34","16-12830","Grain.yield...bu.ac",79.2417906239399,2.68518721070846,"Estimable"
"35","16-12830","Heading.time...Julian.date..JD..",132.280340386012,2.99532580825704,"Estimable"
"36","16-12830","Plant.height.inches",35.0510542641588,2.73687451286132,"Estimable"
"37","16-18448","Grain.test.weight...lbs.bu",59.650241468855,1.95036137492601,"Estimable"
"38","16-18448","Grain.yield...bu.ac",75.007992392992,2.67114664838204,"Estimable"
"39","16-18448","Heading.time...Julian.date..JD..",134.203753123887,2.99532755785558,"Estimable"
"40","16-18448","Plant.height.inches",36.9784651718328,2.73688344580933,"Estimable"
"41","16-18648","Grain.test.weight...lbs.bu",59.6884561620323,1.93994125239089,"Estimable"
"42","16-18648","Grain.yield...bu.ac",76.217381264418,2.67118840218278,"Estimable"
"43","16-18648","Heading.time...Julian.date..JD..",127.518322331684,2.99532451692749,"Estimable"
"44","16-18648","Plant.height.inches",31.4535058268621,2.73687812084505,"Estimable"
"45","16-19018","Grain.test.weight...lbs.bu",59.8115139300538,1.92763040400547,"Estimable"
"46","16-19018","Grain.yield...bu.ac",90.8120495499058,2.6710941213496,"Estimable"
"47","16-19018","Heading.time...Julian.date..JD..",133.840120438057,2.99531537628422,"Estimable"
"48","16-19018","Plant.height.inches",37.130263083575,2.73686648582129,"Estimable"
"49","16-1922","Grain.test.weight...lbs.bu",57.786060679735,1.9312690333444,"Estimable"
"50","16-1922","Grain.yield...bu.ac",87.68342634279,2.67112385752239,"Estimable"
"51","16-1922","Heading.time...Julian.date..JD..",135.03042119261,2.99531852242205,"Estimable"
"52","16-1922","Plant.height.inches",37.6062153253122,2.73686897437433,"Estimable"
"53","16-19346","Grain.test.weight...lbs.bu",59.8805452258158,1.9309518235108,"Estimable"
"54","16-19346","Grain.yield...bu.ac",74.5498728727772,2.86454107486193,"Estimable"
"55","16-19346","Heading.time...Julian.date..JD..",130.151218931659,2.9953766978001,"Estimable"
"56","16-19346","Plant.height.inches",33.9212562293838,2.7368735198098,"Estimable"
"57","16-20838","Grain.test.weight...lbs.bu",59.0509380941526,1.92909692836597,"Estimable"
"58","16-20838","Grain.yield...bu.ac",87.738418237875,2.67114512131236,"Estimable"
"59","16-20838","Heading.time...Julian.date..JD..",131.132353103875,2.99531991939788,"Estimable"
"60","16-20838","Plant.height.inches",32.1825896917977,2.73687141065438,"Estimable"
"61","16-21764","Grain.test.weight...lbs.bu",59.8972852728181,1.92762893485796,"Estimable"
"62","16-21764","Grain.yield...bu.ac",81.2127827860046,2.6710802582953,"Estimable"
"63","16-21764","Heading.time...Julian.date..JD..",134.534027951878,2.99531536684883,"Estimable"
"64","16-21764","Plant.height.inches",37.5896684390864,2.73686491065788,"Estimable"
"65","16-22039","Grain.test.weight...lbs.bu",58.6693791784248,1.92762589136562,"Estimable"
"66","16-22039","Grain.yield...bu.ac",82.2765651803816,2.67113642040619,"Estimable"
"67","16-22039","Heading.time...Julian.date..JD..",132.393195954364,2.9953191365759,"Estimable"
"68","16-22039","Plant.height.inches",38.2499833751917,2.73687032270173,"Estimable"
"69","16-23348","Grain.test.weight...lbs.bu",59.3566468632011,1.97337845005743,"Estimable"
"70","16-23348","Grain.yield...bu.ac",75.9742885955532,2.67131560129893,"Estimable"
"71","16-23348","Heading.time...Julian.date..JD..",130.576006773116,2.9953437937176,"Estimable"
"72","16-23348","Plant.height.inches",35.6668914128332,2.73690305624442,"Estimable"
"73","16-23766","Grain.test.weight...lbs.bu",59.1165584517362,1.9276306390157,"Estimable"
"74","16-23766","Grain.yield...bu.ac",87.1991285654493,2.67111590709903,"Estimable"
"75","16-23766","Heading.time...Julian.date..JD..",133.804535306435,2.99531658624143,"Estimable"
"76","16-23766","Plant.height.inches",38.5529385711035,2.73686627840562,"Estimable"
"77","16-23941","Grain.test.weight...lbs.bu",58.3415428275036,1.9326626965043,"Estimable"
"78","16-23941","Grain.yield...bu.ac",87.6895898187874,2.68523345935294,"Estimable"
"79","16-23941","Heading.time...Julian.date..JD..",130.000595407715,2.99532582780484,"Estimable"
"80","16-23941","Plant.height.inches",35.9924679088322,2.7368742069137,"Estimable"
"81","16-23972","Grain.test.weight...lbs.bu",59.0317980097075,1.92908599914561,"Estimable"
"82","16-23972","Grain.yield...bu.ac",86.9003004858584,2.68512855568588,"Estimable"
"83","16-23972","Heading.time...Julian.date..JD..",133.368699129843,2.995321345476,"Estimable"
"84","16-23972","Plant.height.inches",35.8232360825916,2.73686907541852,"Estimable"
"85","16-2870","Grain.test.weight...lbs.bu",59.2170407024808,1.92762484925813,"Estimable"
"86","16-2870","Grain.yield...bu.ac",81.2301876242465,2.67110729809364,"Estimable"
"87","16-2870","Heading.time...Julian.date..JD..",130.53244885491,2.99531658545963,"Estimable"
"88","16-2870","Plant.height.inches",34.181923871019,2.7368678480265,"Estimable"
"89","16-28753","Grain.test.weight...lbs.bu",59.3902212702323,1.9276223121855,"Estimable"
