p1,p2,crossN,reciprocalNm,netMerit,cross,reciprocal,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,select,rank,relValue
5,36,5 x 36,36 x 5,527.2,IL16LCSDH-08-T-2663-21 x 16-36752,16-36752 x IL16LCSDH-08-T-2663-21,58.5,91,133.3,37.9,1.8,0,1,30,103
32,36,32 x 36,36 x 32,525.4,18MSFRS-18 x 16-36752,16-36752 x 18MSFRS-18,58.4,89.9,133.7,37.1,1.4,0,1,52,103
5,32,5 x 32,32 x 5,524.1,IL16LCSDH-08-T-2663-21 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-08-T-2663-21,58.9,89.9,133.9,37.5,1.4,0,1,69,102
1,36,1 x 36,36 x 1,528.5,IL16LCSDH-09-T-2664-28 x 16-36752,16-36752 x IL16LCSDH-09-T-2664-28,59,89.8,133.3,36.9,1.3,0,1,22,103
1,5,1 x 5,5 x 1,527.2,IL16LCSDH-09-T-2664-28 x IL16LCSDH-08-T-2663-21,IL16LCSDH-08-T-2663-21 x IL16LCSDH-09-T-2664-28,59.5,89.8,133.5,37.3,1.3,0,1,31,103
5,6,5 x 6,6 x 5,516.8,IL16LCSDH-08-T-2663-21 x IL16LCSDH-07-T-2662-202,IL16LCSDH-07-T-2662-202 x IL16LCSDH-08-T-2663-21,58.2,89.8,133.7,37.2,1.9,0,1,145,101
6,36,6 x 36,36 x 6,513.6,IL16LCSDH-07-T-2662-202 x 16-36752,16-36752 x IL16LCSDH-07-T-2662-202,57.7,89.8,133.5,36.8,1.8,0,0,349,100
5,16,5 x 16,16 x 5,524.4,IL16LCSDH-08-T-2663-21 x 2020-16758,2020-16758 x IL16LCSDH-08-T-2663-21,57.9,89.7,133.3,37.4,1.5,0,1,66,102
16,36,16 x 36,36 x 16,517.3,2020-16758 x 16-36752,16-36752 x 2020-16758,57.5,89.7,133.1,37,1.5,0,0,290,101
2,36,2 x 36,36 x 2,526.2,IL16LCSDH-09-T-2664-23 x 16-36752,16-36752 x IL16LCSDH-09-T-2664-23,58.9,89.6,133.5,37,1.3,0,1,39,103
