"","germplasmName","Lex_22","War_22","Neo_20","Add_22","Urb_20","Msn_22","Stj_20","Car_20","Blk_22","Urb_21","Neo_21","Stj_21","Blv_22","Stp_22","Neo_22","Urb_22","AvgYld"
"1","07-19334",76.81,87.17,71.62,74.16,76.42,90.89,82.64,89.67,91.85,91.95,88.89,92.75,83.22,95.88,106.3,105.87,87.928
"2","12-26004",60.84,61.48,70.09,71.38,70.43,73.44,80.45,81.87,77.11,84.47,85.57,85.22,95.81,89.97,100.92,91.52,81.2726666666667
"3","16-8048",75.88,77.12,73.3,75.88,77.17,90.03,83.57,90.12,93.69,90.25,90.34,93.68,95.31,92.14,106.04,107.18,88.972
"4","17-8930",72.64,68.67,74.42,74.72,76.85,91.31,83.99,89.26,88.32,90.41,91,93.26,94.87,101.51,109.51,107.2,89.2846666666667
"5","18-12001",59.67,53.22,68.65,71.45,71.68,84.21,79.77,80.76,77.72,83.13,84.53,83.92,89.93,94.82,93.75,99.85,81.5893333333333
"6","18-12756",65.4,66.41,67.66,71.91,75.37,81.01,79.59,82.85,83.1,84.79,84.23,85.46,87.62,93.7,97.73,101.8,82.8146666666667
"7","18-12809",63.75,65.77,67.77,69.28,70.85,50.91,78.71,81.49,82.22,78.86,82.87,83.83,79.66,93.97,97.44,101.55,78.8773333333333
"8","18-13748",61.63,55.99,69.91,72.36,70.08,86.29,81.05,82.82,80.42,85.93,86.5,86.35,77.78,93.2,96.34,101.59,82.15
"9","18-13756",58.06,52.19,67.65,69.77,65.74,57.94,79.2,79.77,78.26,84.35,83.65,82.78,86.44,86.87,93.31,96.42,78.014
"10","18-13765",74.89,80.11,68.62,73.38,73.69,86.16,81.34,87.87,94.06,86.61,86.9,90.51,92.38,94.52,103.41,103.31,86.51
"11","18-13852",73.18,76.13,70.81,73.12,73.52,79.53,81.87,87.11,89.13,85.71,87.73,90.24,81.5,98.14,98.7,103.62,84.9273333333333
"12","18-13965",59.71,51.32,73.56,71.07,73.65,87.46,81.27,81.94,77.97,85.47,86.84,85.78,83.95,86.28,96.07,93.12,81.6093333333333
"13","18-14535",72.46,71.82,72.42,75.17,74.66,91.48,83.59,88.73,88.7,91.18,90.37,92.59,97.33,97.62,103.37,102.2,88.1246666666667
"14","18-15372",65.26,62.31,70.69,71.93,69.8,62.72,80.74,83.34,82.65,84.66,86.01,86.56,85.72,96.47,97.29,99.05,81.526
"15","18-16828",62.3,64.73,67.68,70.41,71.97,71.6,79.27,81.42,79.96,84.68,83.75,84.13,78.64,86.8,94.77,98.22,79.7066666666667
"16","18-17119",67.23,67.77,68.84,71.41,69.93,69.49,80.25,83.85,86.77,86.84,85.25,86.67,83.06,93.34,97.71,98.35,81.9326666666667
"17","18-17905",73.48,74.82,71.69,74.44,76.63,92.25,82.72,88.5,91.18,89.86,89.03,91.87,95.99,95.52,105.42,105.03,88.2406666666667
