"","germplasmName","War_22","Blk_22","Neo_21","Lex_22","Neo_22","Scb_21","Urb_22","Urb_21","Scb_22","Urb_20","Scb_20","Msn_22","AvgYld"
"1","07-19334",121.78,125.87,133.38,128.52,134.32,137.38,136.38,138.38,137.43,140.43,140.58,150.62,136.290909090909
"2","12-26004",114.74,116,122.51,125.86,130.71,129.57,131.45,132.61,133.27,131,133.01,146.59,130.12
"3","16-8048",119.32,122.91,128.12,127.94,133.7,134.84,135.68,136.28,136.55,136.62,137.75,149.83,134.239090909091
"4","17-8930",113.74,115.89,120.18,125.51,130.15,127.84,131.18,131.31,132.68,128.6,130.89,146.35,128.948181818182
"5","18-12001",119.76,120.46,125.29,127.4,132.83,132.75,134.79,135.12,135.64,134.72,136.59,149.04,133.084545454545
"6","18-12756",117.53,119.59,127.59,127.35,132.58,135.29,134.54,136.03,135.38,136.68,137.91,148.25,133.557272727273
"7","18-12809",117.97,121.08,127.34,127.7,133.24,134.3,135.37,135.88,136.21,136.02,137.39,149.07,133.680909090909
"8","18-13748",117.58,121.85,126.67,127.46,132.75,133.98,134.92,135.39,135.82,135.22,136.5,149.09,133.216363636364
"9","18-13756",116.51,122.38,125.89,127.43,132.8,134.22,134.87,135.24,135.66,134.93,136.47,149.34,133.032727272727
"10","18-13765",116.03,120.99,127.27,127.29,132.34,133.57,134.5,135.77,135.42,136.19,137.78,148.96,133.192727272727
"11","18-13852",121.54,124.57,129.37,128.73,134.75,136.5,137.53,137.43,137.86,138.22,139.32,150.98,135.657272727273
"12","18-13965",119.46,121.59,129.17,127.92,133.48,136.49,135.53,137.03,136.37,138.2,139.14,149.57,134.76
"13","18-14535",118.4,120.02,125.18,127.03,132.33,132.6,133.96,134.39,135.17,133.55,135.36,148.12,132.371818181818
"14","18-15372",115.95,118.57,125.42,126.68,131.75,132.46,133.22,134.28,134.47,133.69,135.53,147.57,131.910909090909
"15","18-16828",120.43,121.95,126.57,127.58,133.11,133.97,135.14,135.7,135.87,135.75,137.12,148.37,133.600909090909
"16","18-17119",113.69,117.65,125.12,126.88,132.01,131.59,134.03,134.25,134.81,133.41,135.25,148.7,131.794545454545
"17","18-17905",116.48,119.12,130.31,127.43,132.66,135.51,134.46,136.86,135.4,138.36,138.7,149.43,134.145454545455
"18","18-22132",119.09,120.99,126.84,127.41,132.81,133.82,134.67,135.58,135.63,135.66,137.02,148.62,133.377272727273
"19","18-22767",118.79,119.03,127.65,127.02,132.16,133.52,133.79,135.53,134.75,135.97,137.25,147.63,133.096363636364
"20","18-22976",118.73,122.13,130.68,127.85,133.38,136.32,135.19,137.4,136.04,139.05,139.61,149.95,134.927272727273
"21","18-23224",118.22,119.04,125.73,127.21,132.61,132.31,134.38,134.9,135.54,134.44,136.06,148.12,132.683636363636
"22","18-23760",120.95,124.07,128.49,128.57,134.51,136.19,137.1,137.12,137.62,137.75,139.05,151.31,135.332727272727
"23","18-26037",119.8,121.91,127.55,127.59,133.06,135.24,134.88,136.41,135.67,137.23,138.47,149.07,134.088181818182
"24","18-4910",119.15,122.19,125.87,127.16,132.43,133.44,134.13,135,135.17,134.71,136.16,148.55,132.888181818182
"25","18-5737",117.91,121.34,127.17,127.37,132.77,133.52,134.53,135.42,135.7,135.38,136.88,148.6,133.204545454545
"26","18-5837",117.17,119.88,127.1,127.24,132.53,133.61,134.16,135.74,135.23,136.18,137.53,149.71,133.290909090909
