"","germplasmName","Lex_22","War_22","Add_22","Msn_22","Urb_21","Neo_21","Blk_22","Stj_21","Blv_22","Stp_22","Neo_22","Urb_22","AvgYld"
"1","07-19334",74.99,87.02,75.28,90.09,86.91,87.17,87.53,91.55,83.35,96.69,104.95,104.92,89.2041666666667
"2","12-26004",70.34,62.35,73.82,88.58,82.57,82.38,75.39,86.65,95.79,88.73,97.51,92.22,83.0275
"3","16-8048",78.86,76.69,77.55,92.07,87.79,87.55,94.13,92.82,95.22,94.4,105.45,105.34,90.6558333333333
"4","17-8930",75.4,68.41,74.85,88.05,88.53,89.24,88.27,93.26,94.8,102.67,109.89,109.8,90.2641666666667
"5","18-12001",61.96,53.57,72.58,83.84,82.05,83.41,79.3,85.34,89.9,94.13,95.17,99.39,81.72
"6","18-12756",68,66.45,74.44,83.69,83.92,84.65,82.77,87.83,87.97,93.96,98.44,100.77,84.4075
"7","18-12809",55.55,65.73,68.97,50.22,81.3,83.73,82.08,83.97,79.67,94.7,96.95,101.77,78.72
"8","18-13748",62.16,56.17,72.29,83.62,82.38,83.81,82.08,85.7,77.78,93.37,96.62,100.63,81.3841666666667
"9","18-13756",55.26,52.41,69.44,58.96,79.2,81.01,80.62,81.79,86.07,87.35,91.61,94.95,76.5558333333333
"10","18-13765",76.02,79.51,76.04,89.1,86.54,86.48,94.64,91.27,92.57,95.1,102.85,102.46,89.3816666666667
"11","18-13852",69.47,76.01,73.68,79.12,84.89,85.62,88.11,88.96,81.53,97.08,99.38,102.58,85.5358333333333
"12","18-13965",61.13,51.69,70.41,86.91,79.86,80.69,79.01,83.01,83.45,85.64,92.42,91.76,78.8316666666667
"13","18-14535",73.97,71.72,75.64,90.34,86.08,86.28,87.72,90.6,96.91,96.89,102.61,102.38,88.4283333333333
"14","18-15372",63.49,62.48,72.28,63.82,82.8,84.09,83.82,86.25,85.62,95.45,97.34,99.77,81.4341666666667
"15","18-16828",59.53,65.07,71.02,72.74,80.34,81.65,78.14,83.35,78.59,87.36,92.87,95.73,78.8658333333333
"16","18-17119",65.6,67.68,72.51,71.83,82.82,83.68,88.76,86.47,83.11,92.73,96.78,98.03,82.5
"17","18-17905",77.28,74.52,76.33,93.21,87.44,87.4,91.65,92.31,96.03,96.57,105.27,104.78,90.2325
"18","18-22132",71.31,70.87,75.29,87.99,83.56,83.49,86.92,87.76,89.23,90.91,96.84,95.66,84.9858333333333
"19","18-22767",64.15,55.82,73.07,67.83,83.7,85.14,86.95,87.24,86.95,95.6,99.95,103,82.45
"20","18-22976",66.93,77.44,73.03,76.06,83.96,84.92,89.14,87.77,82.9,95.57,99.5,100.75,84.8308333333333
"21","18-23224",62.73,60.4,72.23,61.07,83.43,85.08,80.67,86.83,86.04,97.09,100.43,102.75,81.5625
"22","18-23760",71.88,60.31,75.26,84.14,85.9,86.47,87.22,90.22,86.82,98.82,104.05,102.93,86.1683333333333
"23","18-26037",71.83,74.66,75.02,76.81,86.36,87.09,90.7,90.69,86.38,98.82,104.3,105.19,87.3208333333333
"24","18-4910",63.94,55.75,71.11,83.27,82.46,83.54,81.67,85.94,89.76,93.95,96.65,98.36,82.2
"25","18-5737",60.15,62.04,70.14,76.79,82.12,83.88,82.2,85.25,88.08,94.91,96.08,101.18,81.9016666666667
"26","18-5837",65.94,69.19,72.11,88.38,82.46,83.14,83.03,86.13,86.73,90.67,95.86,97.09,83.3941666666667
"27","18-6274",78.45,81.92,76.7,96.46,87.29,86.97,90.12,92.27,93.74,96.06,104.46,102.96,90.6166666666667
"28","18-6852",72.55,88.73,73.94,79.15,86.86,87.6,85.95,91.27,89.93,96.57,105.94,107.35,88.82
"29","18-7928",50.86,68.02,69.63,50.23,81.28,84.66,83.05,83.52,88.38,99.04,99.15,105.16,80.2483333333333
"30","18-7943",54.46,56.15,69.97,72.66,79.98,82.22,77.63,82.52,85.29,92.49,92.08,99,78.7041666666667
"31","18-842",72.67,67.93,75.4,96.6,86.56,87.18,88.7,90.97,89.26,97.8,103.57,106.4,88.5866666666667
"32","18-9724",63.26,71.79,73.24,57.47,82.58,83.85,84.16,86.01,78.17,91.99,97.18,99.95,80.8041666666667
"33","18MSFRS-18",77.52,87.56,75.62,101.88,87.38,87.28,89.09,92.27,92.58,97.93,103.3,104.66,91.4225
"34","19-10123",73.19,72.03,75.21,85.96,85.84,86.52,87.52,88.58,95.36,93.55,103.94,102.6,87.525
"35","19-10136",60.82,69.68,70.63,73.95,80.22,84.09,86.49,84.67,87.79,90.5,93,96.06,81.4916666666667
"36","19-10142",65.9,71.49,73.58,80.67,81.87,81.73,81.42,85.38,88.06,91.63,96.02,95.87,82.8016666666667
"37","19-10151",67.67,77.18,75.11,82.73,81.98,84.55,84.84,85.41,96.55,90.44,95.37,97.15,84.915
"38","19-10168",66.26,71.12,72.27,81.36,82.73,80.92,85.46,86.18,91.68,90.18,94.84,95.92,83.2433333333333
"39","19-10173",63.89,71.52,72.21,79.66,81.01,82.54,83.06,83.76,87,87.55,93.28,93.91,81.6158333333333
"40","19-10236",66.17,63.02,73.76,86,81.06,79.38,79,82.27,92.16,85.07,91.08,88.67,80.6366666666667
"41","19-11163",66.63,67.37,73.23,80.53,83.17,81.88,78.07,86.61,89.73,93.06,97.43,97.5,82.9341666666667
"42","19-11770",65.49,76.52,72.08,77.71,83.48,83.03,81.95,87.42,87.38,90.99,97.15,100.78,83.665
"43","19-11773",64.41,68.45,71.97,76.26,83.44,82.75,82.38,84.98,89.88,93.56,98.01,99.58,82.9725
"44","19-12420",65.48,64.38,72.26,79.61,82.41,82.61,87.19,86.29,91.04,90.42,95.62,97,82.8591666666667
"45","19-12615",69.67,68.48,74.47,81.28,84.53,86.37,84.96,89.92,83.97,95.53,101.56,102.5,85.27
"46","19-12659",60.86,64.61,71.42,71.66,82.35,84.5,81.14,83.8,80.64,93.22,96.22,99.59,80.8341666666667
"47","19-12830",71.53,59.18,75.33,81.47,86.07,86.99,86.32,91.81,88.58,97.79,104.55,106.1,86.31
"48","19-12849",63.76,62.21,73.51,78.35,81,82.22,81.53,85.07,76.04,89.64,95.13,95.47,80.3275
"49","19-12926",63.93,65.59,73.13,74.28,83.21,84.34,84.54,85.25,84.35,95.3,99.04,101.66,82.885
"50","19-13048",63.98,55.02,72.12,75.15,83.83,83.9,79.15,86.17,82.12,93.55,98.81,100.52,81.1933333333333
