,germplasmme,War_22,Add_22,Blk_22,Stp_22,Neo_22,Urb_22,yield_factor_analytic,Seed source 2021,S600.range,S600.row,plot_name,Weight,Moisture,Test weight,Quick note,Harvest.Sequence.,action,Found
1,IL16LCSDH-09-T-2664-20,72.46,76.62,92.27,107.4,110.96,116,95.95,DH_Urb_21-plot1007,,,,,,,,,,
2,IL16LCSDH-09-T-2664-23,81.17,76.38,91.84,104.07,107.26,113.96,95.78,DH_Urb_21-plot1008,,,,,,,,,,
3,IL16LCSDH-09-T-2664-28,77.04,75.57,96.53,100.07,109.21,110.54,94.83,DH_Urb_21-plot1011,,,,,,,,,,
4,IL16LCSDH-09-T-2664-16,83.75,77.85,94.65,97.8,108.36,105.88,94.72,DH_Urb_21-plot1005,,,,,,,,,,
5,IL16LCSDH-08-T-2663-55,77.15,72.07,91.19,103.49,110.35,113.19,94.57,DH_Urb_21-plot913,,,,,,,,,,
6,IL16LCSDH-08-T-2663-21,83.54,77.46,88.99,100.74,106.89,109.12,94.46,DH_Urb_21-plot905,,,,,,,,,,
7,IL16LCSDH-04-T-2659-207,94.3,74.08,92.57,96.9,105.65,102.79,94.38,DH_Urb_21-plot1406,,,,,,,,,,
8,IL16LCSDH-07-T-2662-202,74.51,76.57,90.21,103.03,107.24,114.12,94.28,DH_Urb_21-plot1607,,,,,,,,,,
9,IL16LCSDH-04-T-2659-3,80.25,74.36,93.25,100.5,108.07,109.19,94.27,DH_Urb_21-plot504,,,,,,,,,,
10,IL16LCSDH-09-T-2664-27,77.83,76.05,91.86,100.4,108.49,110.31,94.16,DH_Urb_21-plot1010,,,,,,,,,,
11,IL16LCSDH-04-T-2659-216,84.31,76.38,91.45,97.07,106.54,108.19,93.99,DH_Urb_21-plot1411,,,,,,,,,,
12,IL16LCSDH-09-T-2664-40,77.56,73.24,93.19,99.16,108.04,112.23,93.9,DH_Urb_21-plot1017,,,,,,,,,,
13,IL16LCSDH-10-T-2665-21,82.59,74.65,90.17,101.63,103.69,109.61,93.72,DH_Urb_21-plot1114,,,,,,,,,,
14,IL16LCSDH-09-T-2664-36,75.02,73.69,92.91,100.65,108.91,110.9,93.68,DH_Urb_21-plot1016,,,,,,,,,,
15,2020-16738,73.45,74.44,90.35,105.04,107.41,110.31,93.5,Aug_Urb_21-plot7914,14,7,SI_Urb_22-194,7.51,11.6,59.5,,374,KEEP,TRUE
16,2020-16758,72.88,73.03,90.34,104.16,106.77,113.57,93.46,Aug_Urb_21-plot7918,15,7,SI_Urb_22-195,7.77,11.6,58.7,,375,KEEP,TRUE
17,2020-5376,74.98,78,90.71,100.71,106.13,110.03,93.43,Aug_Urb_21-plot2809,2,3,SI_Urb_22-62,7.66,11.6,61.3,,122,KEEP,TRUE
18,IL16LCSDH-09-T-2664-24,79.74,74.28,93.29,98.56,107.7,106.21,93.3,DH_Urb_21-plot1009,,,,,,,,,,
19,2020-6148,75.79,79.31,90.58,99.23,106.49,106.54,92.99,Aug_Urb_21-plot3112,13,3,SI_Urb_22-73,7.21,11.9,60.7,,133,KEEP,TRUE
,07-19334,87.19,74.14,89.07,96.02,105.1,105.66,92.86,Checks,,,,,,,,,,
20,IL16LCSDH-09-T-2664-30,75.63,74.43,91.09,99.51,105.92,109.99,92.76,DH_Urb_21-plot1012,,,,,,,,,,
21,2020-14116,74.26,76.23,90.16,99.7,105.8,110.05,92.7,Aug_Urb_21-plot6506,21,6,SI_Urb_22-160,6.49,11.3,59.5,,321,KEEP,TRUE
22,IL16LCSDH-06-T-2661-17,57.95,75.49,91.7,106.01,108.73,115.75,92.61,DH_Urb_21-plot616,,,,,,,,,,
23,2020-15256,73.77,76.31,89.89,100.65,105.25,109.78,92.61,Aug_Urb_21-plot7014,13,6,SI_Urb_22-168,7.97,11.9,60.4,,313,KEEP,TRUE
24,IL16LCSDH-10-T-2665-52,80.59,71.77,90.6,99.89,102.69,109.76,92.55,DH_Urb_21-plot1214,,,,,,,,,,
25,2020-1956,72.33,73.97,89.23,103.35,105.33,109.41,92.27,Aug_Urb_21-plot1001,24,1,SI_Urb_22-24,5.92,11.6,55.9,,24,KEEP,TRUE
26,IL16LCSDH-06-T-2661-228,73.07,73.56,86.91,102.74,106.17,111,92.24,DH2_Urb_21-plot704,,,,,,,,,,
,16-8048,76.92,76.97,93.89,93.03,105,106.79,92.1,Checks,,,,,,,,,,
27,IL16LCSDH-01-T-863-87,80.91,72.85,89.54,98.87,103.39,106.86,92.07,DH_Urb_21-plot120,,,,,,,,,,
