accession_name,purdy pedigree
07-19334,"01-36115 / 79-008T-B-B, IL01-36115 /IL79-008T-B-B"
12-26004,01-34159/ 00-8061// 06-7550
16-8048,07-12948/07-4415
17-8930,07-4415/10-19464
18-12001,11-27667/11-30814
18-12756,11-28619/12 - 30879
18-12809,11-28619/12 - 30879
18-13748,12 - 4776/11-28222
18-13756,12 - 4776/11-28222
18-13765,12 - 4776/11-28222
18-13852,12 - 4776/12 - 15557
18-13965,12 - 4776/12 - 30879
18-14535,12 - 8545/07-4415
18-15372,12 - 14179/12 - 21624
18-16828,12 - 21624/12 - 30879
18-17119,12 - 21660/10-21934
18-17905,G09418/MO 080104//10-21934
18-22132,06-14262/07-20728//12 - 8545
18-22767,07-4415/10-19464//07-24841
18-22976,07-4415/11-6543//10-21934
18-23224,07-19334/07-4415//10-21934
18-23760,07-20743/02-19463-8//12 - 36718
18-26037,07-20728/09-22709
18-4910,02-19463-8/12 - 8545
18-5737,07-20743/07-4415
18-5837,07-20743/12 - 14179
18-6274,08-8844/12 - 7918
18-6852,09-3264/12 - 7918
18-7928,10-19464/12 - 14179
18-7943,10-19464/12 - 14179
18-842,KY02C-3005-25/11-26844
18-9724,11-6543/12 - 36718
18MSFRS-18,unknown
19-10123,12-8512/13-23870
19-10136,12-8512/13-23870
19-10142,12-8512/13-23870
19-10151,12-8512/13-23870
19-10168,12-8545/12-14179
19-10173,12-8512/13-23870
19-10236,12-8545/13-20375
19-11163,12-28257/GA081628-G23
19-11770,13-1910/12-8545
19-11773,13-1910/12-8545
19-12420,13-4164/12-8545
19-12615,13-12179/10-21934
19-12659,13-12179/10-21937
19-12830,13-12179/12-21624
19-12849,13-12179/12-21624
19-12926,13-12179/12-26448
19-13048,13-12179/13-23870
19-13414,13-20171/10-21934
19-13434,13-20171/13-1910
19-13447,13-20171/13-1910
19-13451,13-20171/13-1910
19-13706,13-20375/12-14179
19-13707,13-20375/12-14179
19-13713,13-20375/12-14179
19-13748,13-20375/12-14179
19-13752,13-20375/12-14179
