"","germplasmName","Stage","purdy.pedigree","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit","merit_sel","yield_sel","height_sel","heading_sel","final_sel"
"758","IL2021-22514",1,"07-20728/13-1910",59.8039186797334,96.8075261586597,133.600675608701,36.8248016400656,0.405597632030598,5.75168468019748,579.348382366815,1,1,1,0,1
"554","IL2021-15134",1,"07-20728/14-28462",59.7609353351242,94.3554878846358,133.199567423974,35.8058396457563,0.291459945086314,0.945625696589697,573.250681465634,1,1,1,0,1
"748","IL2021-22316",1,"07-20728/P0762A1-2-8",58.6689762814864,97.6326489757741,134.268266010042,36.6679686520978,0.852770574390552,10.363420890719,568.070014627215,1,1,1,0,1
"1169","IL2021-41738",1,"12-8545/14-28462//12-17257",58.9803211141124,93.7598616711428,133.527897740566,36.7435561752236,0.679999990609871,4.93011823303936,557.70212820636,1,1,1,0,1
"635","IL2021-17749",1,"14-28462/14-11830",59.4273345304416,94.8530604435318,132.976995676405,36.2623027864227,0.935557523256184,13.8723153512803,555.342803064264,1,1,1,0,1
"565","IL2021-15245",1,"07-20728/14-28468",60.2214714194696,90.9421689827878,133.728738007205,37.6858845384407,0.401262509716451,1.14141698283158,548.358090050465,1,1,1,0,1
"1232","IL2021-43872",1,"14-28462/14-11830//14-28468",59.4329009687908,93.307852614687,133.216785767143,34.9861665953609,1.06663044956147,11.2747230154806,544.8930573235,1,1,1,0,1
"656","IL2021-18124",1,"14-28468/07-19334",59.4195861660525,92.6239776707259,134.204167018041,38.3794778623823,0.867979921043699,4.8223383430836,544.089575576109,1,1,1,0,1
"541","IL2021-14672",1,"07-19334/14-28462",59.6377069291337,90.8027558886682,134.040819501678,39.0237797344802,0.541863290818796,2.3815737077526,542.373292574652,1,1,0,0,0
"1234","IL2021-43878",1,"14-28462/14-11830//14-28468",59.5290737546866,93.2034051400392,132.595322261764,34.1416790621369,1.28783280519681,13.6714505905495,541.833505522277,1,1,1,0,1
"676","IL2021-18451",1,"14-28468/14-11830",58.5569510873947,94.5182940199345,134.033297655877,35.7770900302901,1.22296058339204,14.5733731242832,541.677804974356,1,1,1,0,1
"543","IL2021-14741",1,"07-19334/14-28468",57.9417230268118,91.9736305827721,133.411798782832,38.6434684640089,0.857577701665328,8.4152350026636,541.259123608169,1,1,0,0,0
"1071","IL2021-36731",1,"16-27570/14-28468",59.0058616750572,92.1333100416262,134.103778647278,36.8426224834098,0.881044353261074,5.6388081971096,541.022793490184,1,1,1,0,1
"566","IL2021-15254",1,"07-20728/14-28468",60.7620898582438,91.0413948918431,133.191639808014,38.4734152730912,0.795703874707118,6.28052838489588,540.973974343282,1,1,1,0,1
"1239","IL2021-43921",1,"14-28462/14-11830//14-28468",59.5405500091226,90.9108286764024,133.027606803862,37.0163278586537,0.748782249483664,7.75722278610955,540.919423136987,1,1,1,0,1
"628","IL2021-17463",1,"14-28462/07-20728",59.777362559971,93.5749624024072,133.691395678433,37.7892820410945,1.18619994020249,13.393342303206,539.935974532353,1,1,1,0,1
"884","IL2021-27466",1,"13-1910/12-8512",58.8410174628942,91.7740492758804,133.410357058008,36.7746837000016,0.880297350188214,10.0105610041271,539.62582426437,1,1,1,0,1
"1289","IL2021-46033",1,"14-28462/14-9546",58.9291503806463,89.7722936416151,133.415120488466,36.5681692681727,0.55194026454736,4.10508233334355,538.487709392232,1,1,1,0,1
"697","IL2021-19401",1,"P0762A1-2-8/14-9542",57.9800403833343,92.2027363213218,132.869067040918,36.3877177628493,0.965880431238691,16.4998367458315,538.291833489318,1,1,1,0,1
"1061","IL2021-36445",1,"16-27570/07-20728",59.9537635605467,90.2178360137675,134.416577126751,36.8349180446601,0.426298254608842,3.40187415730311,538.284358604343,1,1,1,0,1
"1070","IL2021-36725",1,"16-27570/14-28468",60.7784031600837,89.4094720464487,132.326047038172,37.3166992290239,0.687571620714765,7.65540558362748,537.458971986238,1,1,1,0,1
"1090","IL2021-39238",1,"07-4415/14-11848//P0762A1-2-8",59.4974439707979,91.6106306230714,133.795767635028,37.4067174321658,0.985793060363357,6.72442662993093,537.054042588567,1,1,1,0,1
"536","IL2021-14476",1,"07-19334/14-28462",60.0479820004129,89.4970346686045,133.512718136184,39.5021332984361,0.58203866378042,2.47976642197085,536.995698872544,1,1,0,0,0
"626","IL2021-17428",1,"14-28462/07-19334",59.9892536937593,89.9762060887703,133.653244783774,38.0607011887624,0.608162331462381,4.6423516305417,536.942763542099,1,1,1,0,1
"805","IL2021-25411",1,"12-17257/07-20728",59.9531833798369,90.302169073509,134.023165377095,36.966943658918,0.613274552788954,4.43898908103779,536.817397914119,1,1,1,0,1
"558","IL2021-15175",1,"07-20728/14-28462",59.8171333964466,91.4003322718863,132.923142110324,39.2578711817765,0.954412077249462,12.8089383384143,536.816078522156,1,1,0,0,0
"563","IL2021-15219",1,"07-20728/14-28462",60.93052553831,91.3613268674399,132.96404242724,37.6187294500511,1.01299963520754,11.2580960809743,536.43538977534,1,1,1,0,1
"801","IL2021-25339",1,"12-17257/07-20728",60.0658183429187,90.7042596945481,133.78599739999,37.086490512176,0.74847371548363,8.41888122899416,535.085759485038,1,1,1,0,1
"1240","IL2021-43926",1,"14-28462/14-11830//14-28468",60.2316220549207,87.8793279775131,132.572153197498,37.0257511828771,0.457754204508125,3.90280034937238,534.09083237036,1,1,1,0,1
"1117","IL2021-40138",1,"07-20728/07-19334//07-4415",59.4272192420454,89.7947723439413,132.357861612335,37.2217465063828,0.873922234168911,10.5192384522982,534.066542771307,1,1,1,0,1
"924","IL2021-28801",1,"14-9542/16-27570",59.1920904058125,91.8261965089139,133.965439291323,37.4466975853918,0.898060309298271,13.3768089529908,534.053585023448,1,1,1,0,1
"658","IL2021-18152",1,"14-28468/07-19334",59.8552583028934,89.0990478239859,133.540415797565,36.8116008643988,0.677708395125232,2.01592512083303,533.184383385537,1,1,1,0,1
"629","IL2021-17475",1,"14-28462/07-20728",59.2569670314399,90.1943118886624,133.577140466385,36.6763741939548,0.815428680082677,7.23444934494783,533.000799989006,1,1,1,0,1
"677","IL2021-18457",1,"14-28468/14-11830",59.3058915536098,89.5021423732431,134.064841112637,37.243454043331,0.523931511086821,5.371554749365,532.944761136769,1,1,1,0,1
"760","IL2021-22564",1,"07-20728/14-28444",60.8202198168848,89.7461060895401,133.367006509657,38.3015184375108,0.789188403426011,6.16816902406283,532.863718114871,1,1,1,0,1
"1067","IL2021-36639",1,"16-27570/14-28462",60.0949252982523,92.0326694442408,133.250852816184,37.4675777479458,1.19982868256632,14.8923405634914,532.484430167475,1,1,1,0,1
"1313","IL2021-46842",1,"07-20728/07-4415//15-27270",58.5493687114285,92.0917091957582,134.267161985212,36.4443514217221,1.00855826014652,12.693007010387,532.339417420911,1,1,1,0,1
"1290","IL2021-46035",1,"14-28462/14-9546",59.8633798376912,90.2408906378537,133.957357738975,37.3176865737846,0.809373673627906,5.91883620383013,532.222987711595,1,1,1,0,1
"1200","IL2021-43177",1,"14-28462/07-19334//12-26004",60.3288473716584,89.6901656839135,132.879332362621,37.6673163177542,0.865015880107069,8.51906660960781,532.193439840264,1,1,1,0,1
"761","IL2021-22578",1,"07-20728/14-28444",60.1240235365967,88.4287177285658,133.718616354166,37.2003903278642,0.427343486423194,2.90646400298165,532.161114659725,1,1,1,0,1
"802","IL2021-25344",1,"12-17257/07-20728",60.2929486708533,88.4939955818761,132.899033624994,35.5831161092962,0.609933386306609,5.64833886205581,531.892039057445,1,1,1,0,1
"998","IL2021-32902",1,"14-28444/14-11911",59.4700800883542,87.1283947205705,133.080900390565,37.4479285650199,0.333474001849361,0.473062381189826,531.51702384702,1,1,1,0,1
"615","IL2021-16726",1,"14-11830/14-28462",58.2461070505262,88.2976643581296,133.438781820243,35.4542835131917,0.445438384244007,4.74952067496006,531.329672004488,1,1,1,0,1
"1080","IL2021-37737",1,"07-4415/IL12-26004//10-21934",59.5329919778044,87.4795551516411,131.068499014575,36.0950537344271,0.818983756438403,8.01065551590673,530.902110996225,1,1,1,1,1
"560","IL2021-15207",1,"07-20728/14-28462",60.2532602536307,87.6010688047173,133.571219591494,38.1560573278267,0.312834747883765,2.02476310643219,530.826606478895,1,1,1,0,1
