"","x"
"1","IL16LCSDH-09-T-2664-20"
"2","IL2021-22316"
"3","IL2021-22514"
"4","IL2021-15134"
"5","19-14856"
"6","IL16LCSDH-09-T-2664-23"
"7","IL16LCSDH-09-T-2664-28"
"8","IL2021-46842"
"9","IL16LCSDH-09-T-2664-40"
"10","IL2021-36445"
"11","IL16LCSDH-09-T-2664-36"
"12","IL16LCSDH-06-T-2661-17"
"13","IL2021-15254"
"14","16-36752"
"15","IL16LCSDH-09-T-2664-18"
"16","IL2021-14741"
"17","IL2021-15245"
"18","IL2021-43633"
"19","IL2021-22564"
"20","IL2021-46033"
"21","IL2021-32902"
"22","IL2021-18152"
"23","IL2021-28801"
"24","IL2021-14672"
"25","IL2021-19401"
"26","IL2021-19808"
"27","IL2021-44005"
"28","16-8048"
"29","IL2021-15219"
"30","IL2021-17428"
"31","IL2021-43941"
"32","IL16LCSDH-10-T-2665-41"
"33","IL2021-21123"
"34","IL16LCSDH-08-T-2663-21"
"35","2020-7917"
"36","IL2021-43921"
"37","19-16136"
"38","IL16LCSDH-09-T-2664-27"
"39","IL2021-43177"
"40","IL2021-41738"
"41","2020-13902"
"42","IL2021-2038"
"43","19-14617"
"44","IL2021-18124"
"45","IL2021-18451"
"46","2020-15256"
"47","IL16LCSDH-08-T-2663-55"
"48","IL2021-25411"
"49","2020-6148"
"50","19-6704"
"51","IL2021-25344"
"52","IL16LCSDH-09-T-2664-16"
"53","IL2021-17463"
"54","IL2021-18457"
"55","IL16LCSDH-01-T-863-58"
"56","19-21848"
"57","2020-5376"
"58","IL2021-27574"
"59","IL2021-17749"
"60","IL16LCSDH-09-T-2664-24"
"61","IL2021-2915"
"62","IL2021-23332"
"63","IL2021-22578"
"64","IL2021-17813"
"65","IL2021-42045"
"66","IL2021-45979"
"67","2020-2334"
"68","IL2021-43956"
"69","IL2021-28770"
"70","IL2021-43872"
"71","2020-17555"
"72","IL2021-40138"
"73","IL2021-40608"
"74","19-13978"
"75","IL16LCSDH-04-T-2659-216"
"76","IL2021-21635"
"77","IL2021-28208"
"78","IL2021-19217"
"79","IL2021-36450"
"80","2020-16738"
"81","IL2021-39950"
"82","18-14535"
"83","IL2021-16726"
"84","IL2021-27466"
"85","18MSFRS-18"
"86","IL2021-43253"
"87","IL2021-43277"
"88","IL2021-29149"
