"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"1","07-19334",59.4,91.3,133.1,38.4,1.3,17.9,525.7,"AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[late, leaning]; YTNeo22[leaning, late]; YTStp22[Npt]; YTUrb22[Sea of heads]",NA
"2","12-26004",58,79.8,127.6,35.9,0.7,9,507.9,"YTNeo22[leaning]; YTNeo22[leaning]; YTUrb22[Leaning]",NA
"3","16-8048",59.2,90.1,132.1,37.2,0.8,10.2,540,"AdvHYUrb20[**]",NA
"4","17-8930",56.8,89.2,127.5,36.2,2.3,29.6,496.3,"AdvCar20[E,]; AdvHYUrb20[mix LandE]; AdvUrb20[mixed]; AdvUrb20[FD]; YTNeo22[clean]; YTNeo22[mix]; YTStp22[Some sterility]; YTUrb22[VE, npt]; YTUrb22[Npt]",NA
"5","18-12001",58.5,79.1,131,38.3,0.9,13,480,"AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; YTNeo22[clean]; YTNeo22[clean]; YTUrb22[Npt]; YTUrb22[Too tall]",NA
"6","18-12756",59.1,83.7,130.1,37,0.8,11.2,513.8,"AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[leaning]; YTNeo22[clean, leaning]; YTStp22[Thick]; YTUrb22[Lodging]; YTUrb22[Leaning]",NA
"7","18-12809",58.9,81.6,131,38.3,0.8,9.8,497.2,"AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[semi bearded]; YTUrb22[Thin]; YTUrb22[Leaning]",NA
"8","18-13748",59.5,78.5,130.8,38.1,0.7,9.7,482.4,"AdvStj21[obs:nice appearance]; AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[clean]; YTNeo22[ve, clean, tall]; YTUrb22[Leaning]",NA
"9","18-13756",58.9,75.4,131,37.6,0.8,9.5,462.8,"AdvStj21[obs:bright]; AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[ve, clean, looks good]; YTUrb22[Tall]; YTUrb22[Tall]",NA
"10","18-13765",59.3,89.8,130.3,38.7,0.9,11.7,543.6,"AdvStj21[mixture:Mixed]; AdvUrb21[exclude_plot:true, rust:R mixture:Mixed]; AdvUrb21[rust:R mixture:Mixed]; YTNeo22[tall]; YTNeo22[clean]; YTStp22[Tall]; YTUrb22[Lodging]; YTUrb22[Leaning]",NA
"11","18-13852",58.7,87,133.3,37.8,1.2,16,503.5,"AdvStj21[obs:npt]; AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; YTNeo22[late]; YTStp22[Looks mixed]; YTUrb22[Leaning]",NA
