"","observationUnitName","germplasmDbId","variable","value","resids"
"1","Adv_Brt_15-plot1001","84789","Grain.test.weight...lbs.bu",46.2,-3.39004728351867
"101","Adv_Brt_15-plot1101","95745","Grain.test.weight...lbs.bu",55.3,3.26701452836506
"469","Adv_Brt_15-plot1109","95781","Grain.yield...bu.ac",48.5,-3.6150916535683
"947","Adv_Brt_15-plot2107","94779","Plant.height.inches",36.00001944,3.09939331068875
"1048","Adv_Brt_15-plot3088","94779","Plant.height.inches",26.00001404,-3.97489994328552
"366","Adv_Car_16-plot1006","85081","Grain.yield...bu.ac",31.1,-3.35222576923116
"7","Adv_Car_19-plot1007","84968","Grain.test.weight...lbs.bu",53,-3.48115925732492
"471","Adv_Car_19-plot1111","96878","Grain.yield...bu.ac",43.8,-3.4803222139126
"173","Adv_Car_19-plot2053","96808","Grain.test.weight...lbs.bu",57.5,4.14523442127465
"347","Adv_Car_19-plot3107","96808","Grain.test.weight...lbs.bu",52.6,-4.14523442127475
"707","Adv_Car_19-plot3107","96808","Grain.yield...bu.ac",82.4,3.09888324954311
"1191","Adv_Neo_17-plot1111","84922","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",9,3.57967459903568
"202","Adv_Neo_17-plot2082","84915","Grain.test.weight...lbs.bu",49.3,-3.88834027218879
"315","Adv_Neo_17-plot3075","84915","Grain.test.weight...lbs.bu",55,3.88834027218883
"1429","Adv_Neo_17-plot3109","84982","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,-3.38462866970875
"749","Adv_Neo_18-plot1029","85052","Plant.height.inches",36.00001944,3.36185206405786
"72","Adv_Neo_18-plot1072","84825","Grain.test.weight...lbs.bu",49.3,-5.54741521155763
"433","Adv_Neo_18-plot1073","84732","Grain.yield...bu.ac",45.2,-3.32291671071366
"129","Adv_Neo_18-plot2009","84825","Grain.test.weight...lbs.bu",57.4,3.08148688560082
"175","Adv_Neo_18-plot2055","84789","Grain.test.weight...lbs.bu",55.9,3.42992924302087
"9","Adv_Rid_17-plot1009","84759","Grain.test.weight...lbs.bu",61,3.47635589087204
"45","Adv_Rid_18-plot1045","85129","Grain.test.weight...lbs.bu",47.1,-3.15885737391077
"105","Adv_Rid_18-plot1105","85219","Grain.test.weight...lbs.bu",47.4,-3.65871332781731
"905","Adv_Rid_18-plot2065","85219","Lodging.incidence...0.9.percentage.scale.",6,3.28634045205544
"389","Adv_Scb_16-plot1029","93487","FHB.grain.incidence.....",80,3.46607082204007
"513","Adv_Scb_16-plot2033","96033","FHB.grain.incidence.....",80,3.64373296183553
"518","Adv_Scb_16-plot2038","84968","FHB.grain.incidence.....",90,3.33658972348387
"1465","Adv_Scb_19-plot1013","85012","Heading.time...Julian.date..JD..",145,3.01579705885413
"2562","Adv_Scb_20-plot3098","97185","Grain.test.weight...lbs.bu",53.76017894312,-3.25290775034279
"3136","Adv_Scb_20-plot3144","97301","Heading.time...Julian.date..JD..",135,3.14626446448209
"1094","ADV_Scb_21-rep1-18-11122_1038","240463","FHB.incidence.....",30,5.33540114274152
"54","ADV_Scb_21-rep1-18-14535_1054","240518","FHB.DON.content...ppm.",1.2,3.39035758517204
