studyName,germplasmName,notes
YT_Neo_22,IL2021-8729,lodging
YT_Neo_22,IL2021-17813,"npt, early"
YT_Neo_22,IL2021-43327,lodging
YT_Neo_22,IL2021-42075,scab
YT_Neo_22,IL2021-41349,"septoria, ve"
YT_Neo_22,IL2021-43345,"scab, tall"
YT_Neo_22,IL2021-47141,heavy scab
YT_Neo_22,IL2021-21665,"npt, clean"
YT_Neo_22,IL2021-40762,"leaning, ve"
YT_Neo_22,IL2021-13764,ve
YT_Neo_22,IL2021-17972,npt
YT_Neo_22,IL2021-26754,"scab,npt"
YT_Neo_22,IL2021-27134,leaning
YT_Neo_22,IL2021-13844,"ve, leaning"
YT_Neo_22,IL2021-6868,"ve, leaning"
YT_Neo_22,IL2021-11821,leaning bit
YT_Neo_22,IL2021-42120,septoria
YT_Neo_22,IL2021-8812,"ve, septoria"
YT_Neo_22,IL2021-46033,scab
YT_Neo_22,IL2021-43960,"thin, clean, ve"
YT_Neo_22,IL2021-40751,leaning
YT_Neo_22,IL2021-46007,leaning
YT_Neo_22,IL2021-42108,ve
YT_Neo_22,IL2021-11830,tall
YT_Neo_22,IL2021-18320,"ve, tall"
YT_Neo_22,IL2021-5065,septoria
YT_Neo_22,IL2021-17845,sept
YT_Neo_22,IL2021-41430,sept
YT_Neo_22,IL2021-43253,sept
YT_Neo_22,IL2021-43370,"tall, late"
YT_Neo_22,IL2021-43862,scab
YT_Neo_22,IL2021-26266,sept
YT_Neo_22,IL2021-21630,clean
YT_Neo_22,IL2021-42132,disease
YT_Neo_22,IL2021-17919,"early, npt"
YT_Neo_22,IL2021-3978,sept
YT_Neo_22,IL2021-27113,late
YT_Neo_22,IL2021-41319,sept
YT_Neo_22,IL2021-41451,"sept, ve"
YT_Neo_22,IL2021-43938,"ve, clean"
YT_Neo_22,IL2021-42061,lodging
YT_Neo_22,IL2021-43920,septoria
YT_Neo_22,IL2021-8718,leaning
YT_Neo_22,IL2021-26255,leaning
YT_Neo_22,IL2021-43404,leaning
YT_Neo_22,IL2021-15207,ve
YT_Neo_22,IL2021-46013,"scab, thick"
YT_Neo_22,IL2021-6811,leaning
YT_Neo_22,IL2021-5009,sept
YT_Neo_22,IL2021-13851,leaning
YT_Neo_22,IL2021-15219,leaning
YT_Neo_22,IL2021-18306,"septoria, ve"
YT_Neo_22,IL2021-6853,"leaning, clean"
YT_Neo_22,IL2021-30265,lodging
YT_Neo_22,IL2021-4033,npt
YT_Neo_22,IL2021-8747,lodging
YT_Neo_22,IL2021-26260,"clean, looks good"
YT_Neo_22,IL2021-17961,"ve, npt"
YT_Neo_22,IL2021-30331,leaning
YT_Neo_22,IL2021-11939,lodging
YT_Neo_22,IL2021-21635,leaning
YT_Neo_22,IL2021-29030,disease
YT_Neo_22,IL2021-40847,leaning
YT_Neo_22,IL2021-47168,leaning
YT_Neo_22,IL2021-8749,septoria
YT_Neo_22,IL2021-44005,"clean, sea of heads "
YT_Neo_22,IL2021-43966,"ve, clean, npt, bright"
YT_Neo_22,IL2021-15967,septoria
YT_Neo_22,IL2021-6802,septoria
YT_Neo_22,IL2021-29002,clean
YT_Neo_22,IL2021-40873,leaning
YT_Neo_22,IL2021-43305,leaning
YT_Neo_22,IL2021-29011,clean
YT_Neo_22,IL2021-40865,"ve, septoria"
YT_Neo_22,IL2021-43341,"tall, late"
YT_Neo_22,IL2021-17866,ve npt
YT_Neo_22,IL2021-39950,leaning
YT_Neo_22,IL2021-16459,clean
YT_Neo_22,IL2021-27145,"bearded, tall, lodging"
YT_Neo_22,IL2021-15973,lodging
YT_Neo_22,IL2021-43974,"npt, pretty clean"
YT_Neo_22,IL2021-43972,"npt, thin, septoria"
YT_Neo_22,IL2021-47145,septoria
YT_Neo_22,IL2021-46024,late
YT_Neo_22,IL2021-15939,tall
YT_Neo_22,IL2021-43921,"late, npt"
YT_Neo_22,IL2021-44007,"septoria, leaf rust"
YT_Neo_22,IL2021-29008,scab
YT_Neo_22,IL2021-40765,"ve, leaning"
YT_Urb_22,IL2021-27463,Tall
YT_Urb_22,IL2021-34808,Ve
YT_Urb_22,IL2021-39307,Looks nice
YT_Urb_22,IL2021-14476,Tall 
YT_Urb_22,IL2021-5833,Leaning 
YT_Urb_22,IL2021-2835,"Tall, ve"
YT_Urb_22,IL2021-3521,Mix
YT_Urb_22,IL2021-41676,"Npt, ve"
YT_Urb_22,IL2021-15934,Leaning 
YT_Urb_22,IL2021-14673,Leaning 
YT_Urb_22,IL2021-25152,Leaning 
YT_Urb_22,IL2021-26829,"Sea of heads, npt"
YT_Urb_22,IL2021-44026,Tall 
YT_Urb_22,IL2021-39970,Leaning 
YT_Urb_22,IL2021-18165,Leaning 
YT_Urb_22,IL2021-16668,Lodg
YT_Urb_22,IL2021-32646,Leaning 
YT_Urb_22,IL2021-40877,Lodging 
YT_Urb_22,IL2021-43265,Tall 
YT_Urb_22,IL2021-4851,Tall 
YT_Urb_22,IL2021-25829,Npt
YT_Urb_22,IL2021-3829,See down row 
YT_Urb_22,IL2021-943,Septoria
YT_Urb_22,IL2021-115,"Late, bearded"
YT_Urb_22,IL2021-8468,Leaning 
YT_Urb_22,IL2021-38714,Leaning 
YT_Urb_22,IL2021-29441,"Npt, scab"
YT_Urb_22,IL2021-2953,Tall 
YT_Urb_22,IL2021-21479,Tall 
YT_Urb_22,IL2021-43633,Leaning 
YT_Urb_22,IL2021-24937,Tall 
YT_Urb_22,IL2021-15749,Scrappy 
YT_Urb_22,IL2021-25905,Mix
YT_Urb_22,IL2021-18661,Leaning 
YT_Urb_22,IL2021-9509,Leaning 
YT_Urb_22,IL2021-8714,Leaning 
YT_Urb_22,IL2021-28413,Leaning 
YT_Urb_22,IL2021-39368,Tall 
YT_Urb_22,IL2021-27863,Bearded
YT_Urb_22,IL2021-16814,"Mix, tall"
YT_Urb_22,IL2021-30406,"Bearded, tall, ve"
YT_Urb_22,IL2021-43334,"Ve, looks good"
YT_Urb_22,IL2021-21471,Tall 
YT_Urb_22,IL2021-23767,Tall 
YT_Urb_22,IL2021-43641,Tall 
YT_Urb_22,IL2021-18531,Mix
YT_Urb_22,IL2021-5120,Npt
YT_Urb_22,IL2021-46521,Small heads
YT_Urb_22,IL2021-36748,Npt
YT_Urb_22,IL2021-8739,Disease
YT_Urb_22,IL2021-21560,Leaning 
YT_Urb_22,IL2021-34207,Looks weak
YT_Urb_22,IL2021-18665,Tall
YT_Urb_22,IL2021-22478,Leaning
YT_Urb_22,IL2021-17428,Tall 
YT_Urb_22,IL2021-33673,"Ve, npt"
YT_Urb_22,IL2021-29337,Leaning 
