"","ugid","notes3"
"NA",NA,NA
"NA.1",NA,NA
"NA.2",NA,NA
"4","19-20337","YTNeo22[tall], YTUrb22[Lodg]"
"223","19-21652","YTNeo22[lodging, tall], YTUrb22[Tall], YTUrb22[Tall]"
"2","19-3269","YTNeo22[tall], YTUrb22[Tall]"
"NA.3",NA,NA
"274","2020-10023","YTUrb22[Leaning, plot damage]"
"294","2020-10026","YTUrb22[Tall]"
"288","2020-10038","YTUrb22[Lodging]"
"181","2020-10050","YTNeo22[lodging], YTUrb22[Tall]"
"147","2020-10057","YTNeo22[late, clean], YTUrb22[Npt, clean, short, tip awned]"
"224","2020-10222","YTNeo22[scab, late]"
"13","2020-10267","YTNeo22[leaning]"
"NA.4",NA,NA
"57","2020-10278","YTNeo22[clean], YTUrb22[Leaning], YTUrb22[Leaning]"
"52","2020-10303","YTNeo22[tall], YTUrb22[Tall]"
"296","2020-10322","YTUrb22[Leaning]"
"200","2020-10325","YTNeo22[tall, leaning], YTUrb22[Leaning]"
"199","2020-10415","YTNeo22[clean]"
"290","2020-10435","YTUrb22[Tall]"
"161","2020-10474","YTNeo22[bearded, lodging], YTUrb22[Bearded]"
"153","2020-10630","YTNeo22[tall], YTNeo22[bad plot], YTUrb22[Leaning]"
"101","2020-11134","YTNeo22[tall]"
"119","2020-11157","YTNeo22[mix]"
"105","2020-11167","YTNeo22[tall, clean]"
"217","2020-1128","YTNeo22[tall, leaning], YTUrb22[Leaning]"
"273","2020-11422","YTUrb22[Tall]"
"173","2020-11426","YTNeo22[septoria, tall], YTUrb22[Tall]"
"118","2020-1149","YTNeo22[sept], YTNeo22[septoria], YTUrb22[Tall]"
"65","2020-11551","YTNeo22[late], YTNeo22[late]"
"187","2020-11632","YTNeo22[septoria, leaf rust], YTUrb22[Ve]"
"241","2020-11836","YTNeo22[leaning, clean], YTStp22[Npt], YTUrb22[A bit tall]"
"73","2020-11841","YTNeo22[tall]"
"213","2020-12056","YTNeo22[leaning]"
"79","2020-12073","YTNeo22[clean], YTUrb22[Leaning], YTUrb22[Leaning]"
"233","2020-12226","YTNeo22[septoria], YTUrb22[Looks nice]"
"115","2020-12650","YTNeo22[late, long heads, scab], YTUrb22[Lodg]"
"99","2020-12665","YTNeo22[ve], YTUrb22[Leaning], YTUrb22[Leaning]"
"128","2020-12673","YTNeo22[lodging], YTNeo22[leaning], YTUrb22[Leaning]"
"12","2020-13001","YTNeo22[tall], YTUrb22[Lodging], YTUrb22[Lodging]"
"149","2020-13011","YTNeo22[clean], YTUrb22[Leaning]"
"112","2020-1314","YTNeo22[lodging], YTUrb22[Tall]"
"120","2020-13145","YTNeo22[leaning], YTUrb22[Leaning]"
"63","2020-13223","YTNeo22[lodging], YTUrb22[Lodging]"
"163","2020-13354","YTNeo22[scab], YTUrb22[Mix], YTUrb22[Tall]"
"50","2020-13527","YTNeo22[septoria], YTUrb22[Lodg]"
"142","2020-1362","YTNeo22[tall], YTUrb22[Tall]"
"295","2020-13707","YTUrb22[Lodg]"
"34","2020-13710","YTNeo22[lodging], YTUrb22[Leaning], YTUrb22[Lodging]"
"259","2020-13735","YTNeo22[lean], YTUrb22[Leaning]"
"176","2020-13739","YTNeo22[leaning, tall], YTUrb22[Lodg]"
"8","2020-13814","YTNeo22[septoria], YTUrb22[Leaning]"
"283","2020-13902","YTUrb22[Leaning]"
"285","2020-13967","YTUrb22[Looks weak]"
"180","2020-14072","YTNeo22[lodging], YTStp22[Bronze off types], YTUrb22[Leaning]"
"182","2020-14116","YTNeo22[leaning, tall]"
"75","2020-14253","YTNeo22[tall], YTUrb22[Tall]"
"191","2020-14337","YTNeo22[lodging, tall], YTStp22[Tall], YTUrb22[Thin], YTUrb22[Leaning]"
"24","2020-14846","YTNeo22[tall], YTNeo22[tall], YTUrb22[Tall]"
"249","2020-14872","YTNeo22[leaning, tall], YTUrb22[Leaning], YTUrb22[Tall, leaning]"
"51","2020-15010","YTNeo22[clean]"
"255","2020-1511","YTNeo22[scab], YTStp22[Mix], YTUrb22[Leaning]"
"203","2020-15209","YTNeo22[tall], YTUrb22[Lodg]"
"144","2020-15215","YTNeo22[lodging], YTUrb22[Lodging]"
"172","2020-15256","YTNeo22[lodgo], YTUrb22[Leaning], YTUrb22[Lodging]"
"253","2020-1534","YTNeo22[septoria], YTUrb22[Leaf rust]"
"158","2020-15348","YTNeo22[clean, npt], YTNeo22[clean], YTStp22[npt]"
"NA.5",NA,NA
"151","2020-15405","YTNeo22[lodging]"
"114","2020-15415","YTNeo22[ve, clean]"
"195","2020-15423","YTNeo22[early, clean]"
"155","2020-15429","YTNeo22[ve, clean], YTUrb22[Leaning]"
"56","2020-15438","YTNeo22[ve, clean]"
"218","2020-15478","YTNeo22[bad plot]"
"287","2020-15546","YTUrb22[Lodging]"
"263","2020-15726","YTStp22[Mixed], YTUrb22[Npt]"
"282","2020-1578","YTUrb22[Npt]"
"258","2020-15810","YTNeo22[npt], YTUrb22[A bit tall]"
"106","2020-15836","YTNeo22[sept], YTStp22[Some sterility], YTUrb22[Leaning], YTUrb22[Leaning]"
"177","2020-15961","YTNeo22[lodging, late], YTNeo22[clean]"
"80","2020-16022","YTNeo22[sept], YTUrb22[Tall]"
"291","2020-16035","YTUrb22[Leaning]"
"85","2020-16102","YTNeo22[lodging], YTUrb22[Tall]"
"272","2020-16118","YTUrb22[Leaning]"
"NA.6",NA,NA
"137","2020-16228","YTNeo22[tall], YTNeo22[sept]"
"299","2020-16301","YTUrb22[Leaning]"
"NA.7",NA,NA
"84","2020-16521","YTNeo22[late, lodging], YTStp22[Some sterility], YTUrb22[Npt, erect], YTUrb22[Leaning]"
"98","2020-16523","YTNeo22[scab], YTNeo22[lodging], YTUrb22[Lodging]"
"268","2020-16637","YTUrb22[Tall]"
"44","2020-16641","YTNeo22[septoria], YTUrb22[Leaning]"
"234","2020-16727","YTNeo22[late, looks good], YTNeo22[leaning, late, thick], YTUrb22[Leaning]"
"211","2020-16738","YTNeo22[leaning], YTStp22[Looks good]"
"209","2020-16758","YTNeo22[late, scab], YTUrb22[Leaning], YTUrb22[Looks nice, maybe weak]"
"178","2020-16902","YTNeo22[tall], YTNeo22[lodging], YTUrb22[Leaning]"
"94","2020-16972","YTNeo22[scab], YTStp22[Tall], YTUrb22[Tall]"
"286","2020-17006","YTUrb22[Leaning]"
"90","2020-17017","YTNeo22[scab]"
"256","2020-17110","YTNeo22[scab], YTStp22[Some sterility], YTUrb22[Lodging], YTUrb22[Leaning]"
"NA.8",NA,NA
"67","2020-17132","YTNeo22[scab], YTNeo22[septoria]"
"70","2020-17154","YTNeo22[tall]"
"292","2020-17163","YTUrb22[Tall], YTUrb22[Tall]"
"174","2020-17307","YTNeo22[clean], YTUrb22[Sea of heads, a bit tall]"
"156","2020-17343","YTNeo22[tall], YTStp22[Some sterility], YTUrb22[Leaning]"
"275","2020-1739","YTUrb22[Tall], YTUrb22[Tall]"
"160","2020-17445","YTNeo22[late]"
"31","2020-17447","YTNeo22[tall], YTNeo22[tall]"
"220","2020-17458","YTNeo22[late]"
"246","2020-1747","YTNeo22[clean]"
"35","2020-17555","YTNeo22[disease], YTNeo22[tall]"
"197","2020-17565","YTNeo22[tall], YTNeo22[tall], YTUrb22[Tall]"
"14","2020-1759","YTNeo22[late], YTNeo22[late], YTUrb22[Npt]"
"NA.9",NA,NA
"100","2020-1842","YTNeo22[tall, late], YTUrb22[Lodg]"
"81","2020-1847","YTNeo22[sept, tall], YTNeo22[tall]"
