studyYear,studyName,germplasmName,notes
2022,YT_Neo_22,2020-2318,septoria
2022,YT_Neo_22,19-3269,tall
2022,YT_Neo_22,IL16LCSDH-09-T-2664-27,"late, heavy scab"
2022,YT_Neo_22,19-20337,tall
2022,YT_Neo_22,IL16LCSDH-10-T-2665-54,"short, scab"
2022,YT_Neo_22,IL16LCSDH-10-T-2665-19,septoria
2022,YT_Neo_22,IL16LCSDH-03-T-865-65,scab
2022,YT_Neo_22,2020-13814,septoria
2022,YT_Neo_22,2020-7737,septoria
2022,YT_Neo_22,2020-6335,septoria
2022,YT_Neo_22,IL16LCSDH-03-T-865-46,septoria
2022,YT_Neo_22,2020-13001,tall
2022,YT_Neo_22,2020-10267,leaning
2022,YT_Neo_22,2020-1759,late
2022,YT_Neo_22,2020-1919,disease
2022,YT_Neo_22,IL16LCSDH-04-T-2659-3,"late, npt"
2022,YT_Neo_22,IL16LCSDH-01-T-863-52,"lodging, scan"
2022,YT_Neo_22,2020-2068,"ve, septoria"
2022,YT_Neo_22,2020-7035,ve
2022,YT_Neo_22,2020-8734,"ve, tall"
2022,YT_Neo_22,IL16LCSDH-02-T-864-5,leaning
2022,YT_Neo_22,2020-1862,septoria
2022,YT_Neo_22,2020-3205,septoria
2022,YT_Neo_22,2020-14846,tall
2022,YT_Neo_22,IL16LCSDH-10-T-2665-69,thin
2022,YT_Neo_22,IL16LCSDH-02-T-864-24,leaning
2022,YT_Neo_22,IL16LCSDH-09-T-2664-16,leaning
2022,YT_Neo_22,2020-5308,"leaning, tall"
2022,YT_Neo_22,IL16LCSDH-10-T-2665-21,"npt, ve"
2022,YT_Neo_22,2020-9801,disease
2022,YT_Neo_22,2020-17447,tall
2022,YT_Neo_22,IL16LCSDH-06-T-2661-231,late
2022,YT_Neo_22,IL16LCSDH-08-T-2663-21,leaning
2022,YT_Neo_22,2020-13710,lodging
2022,YT_Neo_22,2020-17555,disease
2022,YT_Neo_22,2020-2010,ve
2022,YT_Neo_22,IL16LCSDH-07-T-2662-22,"sacb, scsb"
2022,YT_Neo_22,2020-1865,septoria
2022,YT_Neo_22,IL16LCSDH-11-T-2666-208,"npt, scab"
2022,YT_Neo_22,IL16LCSDH-01-T-863-53,"latr, lodging"
2022,YT_Neo_22,2020-5827,disease
2022,YT_Neo_22,2020-9828,septoria
2022,YT_Neo_22,IL16LCSDH-09-T-2664-30,"lodging, scab"
2022,YT_Neo_22,2020-16641,septoria
2022,YT_Neo_22,IL16LCSDH-03-T-865-40,septoria
2022,YT_Neo_22,2020-6010,tall
2022,YT_Neo_22,2020-7954,ve
2022,YT_Neo_22,IL16LCSDH-10-T-2665-42,"ve, thin"
2022,YT_Neo_22,2020-2310,lodging
2022,YT_Neo_22,2020-13527,septoria
2022,YT_Neo_22,2020-15010,clean
2022,YT_Neo_22,2020-10303,tall
2022,YT_Neo_22,2020-4907,tall
2022,YT_Neo_22,IL16LCSDH-10-T-2665-52,"late, scab"
2022,YT_Neo_22,2020-7917,"ve, tall"
2022,YT_Neo_22,2020-15438,"ve, clean"
2022,YT_Neo_22,2020-10278,clean
2022,YT_Neo_22,2020-14846,tall
2022,YT_Neo_22,IL16LCSDH-06-T-2661-234,septoria
2022,YT_Neo_22,IL16LCSDH-07-T-2662-31,"tall, scab"
2022,YT_Neo_22,2020-6909,mix
2022,YT_Neo_22,IL16LCSDH-01-T-863-69,late
2022,YT_Neo_22,2020-5056,"bearded, leaning"
2022,YT_Neo_22,2020-13223,lodging
2022,YT_Neo_22,2020-2334,tall
2022,YT_Neo_22,2020-11551,late
2022,YT_Neo_22,2020-7415,tall
2022,YT_Neo_22,2020-17132,scab
2022,YT_Neo_22,IL16LCSDH-10-T-2665-41,thin
2022,YT_Neo_22,IL16LCSDH-02-T-864-38,"ve, septoria"
2022,YT_Neo_22,2020-17154,tall
2022,YT_Neo_22,2020-2037,sept
2022,YT_Neo_22,IL16LCSDH-04-T-2659-216,npt
2022,YT_Neo_22,2020-11841,tall
2022,YT_Neo_22,2020-927,septoria
2022,YT_Neo_22,2020-14253,tall
2022,YT_Neo_22,IL16LCSDH-01-T-863-72,sept
2022,YT_Neo_22,2020-5533,sept
2022,YT_Neo_22,2020-3211,sept
2022,YT_Neo_22,2020-2037,sept
2022,YT_Neo_22,2020-12073,clean
2022,YT_Neo_22,2020-16022,sept
2022,YT_Neo_22,2020-1847,"sept, tall"
2022,YT_Neo_22,2020-7877,"early, septoria"
2022,YT_Neo_22,IL16LCSDH-02-T-864-6,"sept, ve"
2022,YT_Neo_22,2020-16521,"late, lodging"
2022,YT_Neo_22,2020-16102,lodging
2022,YT_Neo_22,2020-6435,sept
2022,YT_Neo_22,2020-6633,"ve, tall"
2022,YT_Neo_22,IL16LCSDH-06-T-2661-228,"late, disease"
2022,YT_Neo_22,IL16LCSDH-02-T-864-54,leaning
2022,YT_Neo_22,2020-17017,scab
2022,YT_Neo_22,IL16LCSDH-03-T-865-32,"sept, thin"
2022,YT_Neo_22,IL16LCSDH-09-T-2664-40,sept
2022,YT_Neo_22,IL16LCSDH-06-T-2661-212,sept
2022,YT_Neo_22,2020-16972,scab
2022,YT_Neo_22,IL16LCSDH-06-T-2661-39,"ve, clean, npt, big heads"
2022,YT_Neo_22,2020-1847,tall
2022,YT_Neo_22,2020-4878,sept
2022,YT_Neo_22,2020-5376,"ve, clean"
2022,YT_Neo_22,2020-16523,scab
2022,YT_Neo_22,2020-12665,ve
2022,YT_Neo_22,2020-1842,"tall, late"
2022,YT_Neo_22,2020-11134,tall
2022,YT_Neo_22,IL16LCSDH-02-T-864-38,"ve, clean"
2022,YT_Neo_22,IL16LCSDH-07-T-2662-237,late
2022,YT_Neo_22,2020-2615,"sacb, late"
2022,YT_Neo_22,IL16LCSDH-07-T-2662-47,late
2022,YT_Neo_22,2020-11167,"tall, clean"
2022,YT_Neo_22,2020-15836,sept
2022,YT_Neo_22,2020-7369,ve
2022,YT_Neo_22,IL16LCSDH-04-T-2659-232,"sea of heads, late"
2022,YT_Neo_22,2020-528,late
2022,YT_Neo_22,2020-6103,sept
2022,YT_Neo_22,IL16LCSDH-02-T-864-59,leaning
2022,YT_Neo_22,2020-3211,sept
2022,YT_Neo_22,2020-1314,lodging
2022,YT_Neo_22,2020-5416,sept
2022,YT_Neo_22,2020-15415,"ve, clean"
2022,YT_Neo_22,2020-12650,"late, long heads, scab"
2022,YT_Neo_22,IL16LCSDH-01-T-863-58,leaning
2022,YT_Neo_22,IL16LCSDH-03-T-865-36,ve
2022,YT_Neo_22,2020-7415,tall
2022,YT_Neo_22,2020-1149,sept
2022,YT_Neo_22,IL16LCSDH-10-T-2665-21,npt
2022,YT_Neo_22,2020-6633,tall
2022,YT_Neo_22,2020-11157,mix
2022,YT_Neo_22,2020-13145,leaning
2022,YT_Neo_22,2020-6415,tall
2022,YT_Neo_22,IL16LCSDH-02-T-864-29,"ve, clean, leaning"
2022,YT_Neo_22,2020-6117,scrappy
2022,YT_Neo_22,IL16LCSDH-01-T-863-87,"late, scab"
2022,YT_Neo_22,IL16LCSDH-01-T-863-6,"early, clean"
2022,YT_Neo_22,2020-8628,leaning
2022,YT_Neo_22,IL16LCSDH-09-T-2664-23,leaning
2022,YT_Neo_22,2020-12673,lodging
2022,YT_Neo_22,IL16LCSDH-02-T-864-27,ve
2022,YT_Neo_22,2020-5361,"tall, sept"
2022,YT_Neo_22,2020-2775,lodging
2022,YT_Neo_22,IL16LCSDH-02-T-864-8,sept
2022,YT_Neo_22,IL16LCSDH-02-T-864-20,"leaning, ve"
2022,YT_Neo_22,2020-6223,"lodging, late"
2022,YT_Neo_22,2020-7021,tall
2022,YT_Neo_22,IL16LCSDH-07-T-2662-225,leaning
2022,YT_Neo_22,2020-16228,tall
2022,YT_Neo_22,2020-8648,lodging
2022,YT_Neo_22,IL16LCSDH-01-T-863-63,leaning
2022,YT_Neo_22,2020-6171,tall
2022,YT_Neo_22,IL16LCSDH-06-T-2661-12,"clean, npt"
2022,YT_Neo_22,2020-2775,lodging
2022,YT_Neo_22,2020-1362,tall
2022,YT_Neo_22,2020-7024,lodging
2022,YT_Neo_22,2020-15215,lodging
2022,YT_Neo_22,2020-17555,tall
2022,YT_Neo_22,2020-5361,lodging
2022,YT_Neo_22,2020-5871,tall
2022,YT_Neo_22,IL16LCSDH-04-T-2659-225,"clean, thick"
2022,YT_Neo_22,2020-10057,"late, clean"
2022,YT_Neo_22,IL16LCSDH-10-T-2665-52,"scab, late"
2022,YT_Neo_22,2020-2101,"ve, septoria"
2022,YT_Neo_22,2020-13011,clean
2022,YT_Neo_22,IL16LCSDH-01-T-863-10,"late, scab"
2022,YT_Neo_22,2020-15405,lodging
2022,YT_Neo_22,IL16LCSDH-07-T-2662-21,"late, scab"
2022,YT_Neo_22,2020-7024,"leaning, clean"
2022,YT_Neo_22,IL16LCSDH-02-T-864-24,"ve, tall"
2022,YT_Neo_22,2020-10630,tall
2022,YT_Neo_22,IL16LCSDH-06-T-2661-202,"lodging, late"
2022,YT_Neo_22,2020-15429,"ve, clean"
2022,YT_Neo_22,2020-17343,tall
2022,YT_Neo_22,2020-9856,septoria
2022,YT_Neo_22,2020-15348,"clean, npt"
2022,YT_Neo_22,2020-6148,leaning
2022,YT_Neo_22,2020-11551,late
2022,YT_Neo_22,2020-17445,late
2022,YT_Neo_22,2020-10474,"bearded, lodging"
2022,YT_Neo_22,IL16LCSDH-06-T-2661-206,clean
2022,YT_Neo_22,2020-13354,scab
2022,YT_Neo_22,2020-3530,leaning
2022,YT_Neo_22,IL16LCSDH-07-T-2662-23,lodging
2022,YT_Neo_22,2020-2864,septoria
2022,YT_Neo_22,2020-16228,sept
2022,YT_Neo_22,IL16LCSDH-03-T-865-35,sept
2022,YT_Neo_22,IL16LCSDH-04-T-2659-8,"ve, clean"
2022,YT_Neo_22,2020-850,mix
2022,YT_Neo_22,2020-8922,"leaning, clean"
2022,YT_Neo_22,2020-5541,lodging
2022,YT_Neo_22,2020-15256,lodgo
2022,YT_Neo_22,2020-11426,"septoria, tall"
2022,YT_Neo_22,2020-7917,septoria
2022,YT_Neo_22,2020-17307,clean
2022,YT_Neo_22,2020-8608,tall
2022,YT_Neo_22,2020-13739,"leaning, tall"
2022,YT_Neo_22,2020-1759,late
2022,YT_Neo_22,2020-15961,"lodging, late"
2022,YT_Neo_22,2020-16902,tall
2022,YT_Neo_22,2020-15348,clean
2022,YT_Neo_22,2020-2335,lodging
2022,YT_Neo_22,2020-14072,lodging
2022,YT_Neo_22,2020-10050,lodging
2022,YT_Neo_22,2020-14116,"leaning, tall"
2022,YT_Neo_22,IL16LCSDH-11-T-2666-220,"late, clean, leaning"
2022,YT_Neo_22,IL16LCSDH-10-T-2665-75,tall
2022,YT_Neo_22,2020-6201,leaning
2022,YT_Neo_22,IL16LCSDH-07-T-2662-241,"npt, some scab"
2022,YT_Neo_22,2020-6117,leaning
2022,YT_Neo_22,2020-11632,"septoria, leaf rust"
