"","germplasmName","Test weight","Yield","Heading date","Height","Vomitoxin","Kernel damage","net_merit","net_merit_noScab"
"13","18-14535",58.9,87.6,129.6,36.2,0.9,11,535.2,559.3
"33","18MSFRS-18",59.5,89.8,132.8,36.8,0.9,11.2,530.2,554.8
"42","US17-IL-111-005",58.3,86.5,129.8,37.1,0.8,14.2,529.6,552.4
"19","18-22767",58.8,86.3,130.1,37.4,0.7,10.2,529.2,549.1
"3","16-8048",59.3,88.1,132.1,36.5,0.8,10.2,528.8,549.2
"31","18-842",58.9,85.5,129.5,38.1,0.7,11.3,527.9,548
"39","US16-IL-063-063",58.9,87.4,129.2,34.8,1.4,18.2,524,560.4
"43","US17-IL-111-006",59.5,84,128.5,35.7,1,14.2,519.3,544.9
"10","18-13765",59.4,85.6,130.5,37.5,0.9,11.7,518.4,542.7
"23","18-26037",59.6,85.6,131.2,38.7,0.8,10.4,517.7,538.7
"2","12-26004",58.5,80.9,127.3,35,0.7,9,515.7,533
"17","18-17905",59.1,87.8,131.2,36.2,1.3,18.6,515.6,552
"29","18-7928",59.8,84.7,130.3,35.8,0.9,13.2,514.9,539
"37","US16-IL-061-068",59,82.6,127.5,37.3,1.2,12.6,514.1,541.7
"28","18-6852",58.9,85.4,129.5,33.8,1.3,16.5,513.3,547.4
"24","18-4910",60.2,82.6,130.3,36.6,0.5,6.8,512.9,526.4
"14","18-15372",59.6,83,129,36.3,0.9,12.9,512.4,536.2
"27","18-6274",60.5,83.4,129,37.3,1.1,13.6,511.9,538.6
"4","17-8930",57,90.9,127.2,36.1,2.3,29.6,510.8,574.4
"20","18-22976",59.4,85.8,132.1,38.6,1.1,10.3,508.6,535.3
"6","18-12756",59.4,83,130.4,37,0.8,11.2,508.3,528.4
"25","18-5737",58.8,83.3,130.6,38.1,0.7,14.1,507.3,528.8
"18","18-22132",60.3,82.8,130.6,37.4,0.7,10.6,507.1,525.8
"38","US16-IL-063-026",59.8,82,128.7,37.7,1,14.4,506.7,531.9
"8","18-13748",59.4,82.4,130.6,37.6,0.7,9.7,505.1,523.1
"22","18-23760",59.2,87.1,132.6,37.5,1.4,16.6,504.4,540.4
"36","US16-IL-061-032",59.1,84.7,130.4,38.5,1.4,20.1,501.9,538.6
"5","18-12001",59,82.1,130.2,37.7,0.9,13,500.9,524.1
"21","18-23224",59.8,83,129.9,38.5,1.1,17.8,500.5,531
"35","Pio 25R74",57.9,90.8,132.2,32.9,2,37,500.2,562.7
"41","US17-IL-108-070",59.9,85.4,132.6,37.7,1.1,17.3,498.7,530
"40","US17-IL-108-039",59.1,88.8,133.8,36.1,1.7,22.1,498.4,543.5
"26","18-5837",60.2,81.1,130.3,38.3,0.7,11.9,498,517.4
"16","18-17119",59,82.5,129.1,36.5,1.4,17.2,497.5,532.3
"1","07-19334",59.1,86.8,133.8,37.9,1.3,17.9,497.2,531.8
"7","18-12809",59.3,81.4,131,38.2,0.8,9.8,495.9,515.3
"11","18-13852",58.9,85.1,133,36.9,1.2,16,494.7,526.2
"32","18-9724",60,81.5,130.3,35.7,1.1,13.6,493.5,520.4
"30","18-7943",59.6,81.4,129.6,35.2,1.2,19,492.2,523.7
"12","18-13965",59.5,80.7,131.6,36.4,0.7,9.2,491.7,508.3
"9","18-13756",59.4,79.8,130.6,36.9,0.8,9.5,489.4,508.4
"15","18-16828",59.3,79.9,130.9,36.6,1.2,11.9,480,507
"34","Kaskaskia",59.4,78.1,134.4,41.4,2.1,32.3,423.9,477.2
