germplasmName,purdy.pedigree,decision,merit,Grain.yield...bu.ac,Grain.test.weight...lbs.bu,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,notes3,action,Found,Quick.Note.,range.,row.,plot_me.,Weight..lb.,Moisture....,Test.Weight..lb.bu.,Harvest.Sequence.,seedlot_me,ugid
IL2021-22316,07-20728/P0762A1-2-8,keep,540.1,93.5,58.2,133.1,35.3,1.1,18.9,,KEEP,TRUE,,30,37,SI_Urb_22-1110,5.83,12,61.4,691,SI_Urb_22-1110,
IL2021-22514,07-20728/13-1910,keep,546.6,91.3,59.3,132.7,35.8,0.5,11.8,,KEEP,TRUE,,27,24,SI_Urb_22-694,8.39,14.4,61.1,1407,SI_Urb_22-694,
IL2021-18451,14-28468/14-11830,keep,521.6,90.6,58.1,132.7,34.7,1.3,19.8,,KEEP,TRUE,,15,39,SI_Urb_22-1155,7.33,11.9,62.4,586,SI_Urb_22-1155,
IL2021-18124,14-28468/07-19334,keep,522.5,90.3,58.9,132.9,37.3,1.3,16.7,,KEEP,TRUE,,19,34,SI_Urb_22-1002,8.09,15.3,59.1,882,SI_Urb_22-1002,
IL2021-15134,07-20728/14-28462,keep,532.1,90.2,59.4,132.1,34.5,0.9,16.5,,KEEP,TRUE,,13,45,SI_Urb_22-1333,5.15,11.7,63.2,228,SI_Urb_22-1333,
IL2021-17463,14-28462/07-20728,keep,529.3,90.2,59.5,132.5,36.9,1.1,14.6,,KEEP,TRUE,,22,20,SI_Urb_22-579,7.89,14.4,60.9,1162,SI_Urb_22-579,
IL2021-23158,07-21847/12-17257,drop,502.7,89.7,58.3,132.7,36.8,1.8,28.5,,KEEP,TRUE,,29,45,SI_Urb_22-1349,6.35,11.8,59.9,212,SI_Urb_22-1349,
IL2021-17749,14-28462/14-11830,keep,521.1,89.5,58.8,131.6,35.1,1.2,23.4,YTUrb22[Leaning],KEEP,TRUE,,25,34,SI_Urb_22-996,7.23,15.7,59.7,876,SI_Urb_22-996,IL2021-17749
IL2021-41738,12-8545/14-28462//12-17257,keep,528.4,89.2,58.6,132.7,35.6,0.9,12,YTUrb22[Npt],KEEP,TRUE,,17,44,SI_Urb_22-1304,5.78,11.6,61.4,284,SI_Urb_22-1304,IL2021-41738
IL2021-42012,14-11772/07-20728//14-28462,drop,507.1,88.9,60.6,134.1,37.6,1.2,20.8,,KEEP,TRUE,,10,15,SI_Urb_22-430,7.21,15.3,62.2,850,SI_Urb_22-430,
