"","germplasmName","X","War_22","Add_22","Blk_22","Stp_22","Neo_22","Urb_22","yield_factor_analytic","Seed.source.2021","S600.range","S600.row","plot_name","Weight","Moisture","Test.weight","Quick.note","Harvest.Sequence.","action","Found","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit"
"1","07-19334",NA,87.19,74.14,89.07,96.02,105.1,105.66,92.86,"Checks",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.97,90.61,135.92,38.28,1.3,18.34,505.63
"2","12-26004",NA,62.14,70.85,75.55,88.09,98.06,90.66,80.89,"Checks",NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","16-8048",NA,76.92,76.97,93.89,93.03,105,106.79,92.1,"Checks",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.95,91.97,133.89,37.78,0.85,12.11,537.11
"4","19-20337",NA,68.56,66.87,84.44,92.61,101.19,100.88,85.76,"Aug_Urb_20-plot4203",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.81,81.11,131.85,37.8,1.37,20.27,470.72
"5","19-21652",NA,68.95,73.99,84.39,92.75,96.91,100.9,86.32,"Aug_Urb_20-plot4607",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.2,83.24,134.04,39.09,0.8,13.37,473.85
"6","19-3269",79,70.01,74,86.17,97.91,100.11,103.88,88.68,"Aug_Urb_20-plot215",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.56,86.47,134.43,39.97,0.77,15.67,502.16
"7","2020-10001",90,71.11,75.29,86.27,94.39,100.09,102.36,88.25,"Aug_Urb_21-plot4808",7,4,"SI_Urb_22-114",7.19,11.4,62.2,"",187,"KEEP",TRUE,59.01,85.8,133.13,38.22,1.22,17.48,496.62
"8","2020-10023",NA,67.24,70.34,83.28,92.16,96.33,100.94,85.05,"Aug_Urb_21-plot4812",6,4,"SI_Urb_22-115",7.05,11.7,61.5,"",186,"KEEP",TRUE,58.06,81.72,133.26,36.59,0.86,16.99,479.79
"9","2020-10026",NA,68.43,73.41,84.12,95.36,97.47,99.15,86.32,"Aug_Urb_21-plot4813",5,4,"SI_Urb_22-116",7.46,11.2,61.5,"",185,"KEEP",TRUE,58.36,84.01,132.55,37.75,0.8,14.6,499.01
"10","2020-10038",NA,69.3,73.06,84.43,92.78,98.38,98.96,86.15,"Aug_Urb_21-plot4816",4,4,"SI_Urb_22-117",7.29,11.7,62.3,"",184,"KEEP",TRUE,58.97,83.53,133.88,38.47,0.75,12.93,490.92
"11","2020-10050",NA,67.96,71.54,83.75,94.64,97.77,98.8,85.74,"Aug_Urb_21-plot4820",3,4,"SI_Urb_22-118",7.63,11.8,61.3,"",183,"KEEP",TRUE,58.93,83.79,132.86,38.88,0.65,11.32,500.77
"12","2020-10057",NA,66.62,70.23,81.97,90.88,95.46,95.64,83.47,"Aug_Urb_21-plot4902",2,4,"SI_Urb_22-119",7.39,11.8,61.1,"",182,"KEEP",TRUE,58.95,79.81,133.81,35.7,1.66,23.85,448.92
"13","2020-10222",NA,66.85,68.44,83.16,93.22,97.4,100.48,84.92,"Aug_Urb_21-plot5008",1,4,"SI_Urb_22-120",7.43,11.4,61.5,"",181,"KEEP",TRUE,58.62,81.57,133.96,36.64,1.21,19.94,467.43
"14","2020-10267",NA,67.78,67.21,84.08,94.64,100.29,100.72,85.79,"Aug_Urb_21-plot5015",1,5,"SI_Urb_22-121",7.12,11.2,61.7,"",241,"KEEP",TRUE,59.42,83.22,133.58,39.55,0.95,10.23,489.31
"15","2020-10275",89,70.37,71.82,86.37,94.34,100.89,105.8,88.26,"Aug_Urb_21-plot5019",2,5,"SI_Urb_22-122",7.28,11.6,60.1,"",242,"KEEP",TRUE,58.36,85.39,133,38.08,0.67,10.93,508.91
"16","2020-10278",NA,68.38,71.93,84.45,93.36,97.33,103.12,86.43,"Aug_Urb_21-plot5020",3,5,"SI_Urb_22-123",7.28,11.9,59.7,"",243,"KEEP",TRUE,58.75,82.71,133.76,39.23,0.51,11.47,491.89
"17","2020-10303",75,71.06,72.96,86.85,94.83,101.43,105.71,88.81,"Aug_Urb_21-plot5103",4,5,"SI_Urb_22-124",7.68,11.7,62.5,"",244,"KEEP",TRUE,60.2,85.83,133.59,40.32,0.94,11.33,503.37
"18","2020-10322",66,69.74,68.91,86.78,99.14,103.31,106.88,89.13,"Aug_Urb_21-plot5109",5,5,"SI_Urb_22-125",7.55,11.6,59.1,"",245,"KEEP",TRUE,57.91,87.35,133.36,38.42,0.64,11.28,516.82
"19","2020-10325",NA,66.84,68.54,82.21,91.09,97.12,95.48,83.55,"Aug_Urb_21-plot5110",6,5,"SI_Urb_22-126",6.9,11.7,59.8,"",246,"KEEP",TRUE,57.77,80.25,133.1,37.94,0.21,5.45,486.55
"20","2020-10415",77,68.83,68.35,86.3,98.79,101.88,108.27,88.74,"Aug_Urb_21-plot5114",7,5,"SI_Urb_22-127",7.2,11.3,60.9,"",247,"KEEP",TRUE,57.75,86.23,132.55,36.69,1.85,24.43,482.2
