,germplasmName,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,Lex_22,War_22,Add_22,Msn_22,Urb_21,Neo_21,Blk_22,Stj_21,Blv_22,Stp_22,Neo_22,Urb_22,AvgYld
1,07-19334,59.4,91.3,133.1,38.4,1.3,17.9,75.0,87.0,75.3,90.1,86.9,87.2,87.5,91.6,83.4,96.7,105.0,104.9,89.2
2,12-26004,58,79.8,127.6,35.9,0.7,9,70.3,62.4,73.8,88.6,82.6,82.4,75.4,86.7,95.8,88.7,97.5,92.2,83.0
3,16-8048,59.2,90.1,132.1,37.2,0.8,10.2,78.9,76.7,77.6,92.1,87.8,87.6,94.1,92.8,95.2,94.4,105.5,105.3,90.7
4,17-8930,56.8,89.2,127.5,36.2,2.3,29.6,75.4,68.4,74.9,88.1,88.5,89.2,88.3,93.3,94.8,102.7,109.9,109.8,90.3
5,18-12001,58.5,79.1,131,38.3,0.9,13,62.0,53.6,72.6,83.8,82.1,83.4,79.3,85.3,89.9,94.1,95.2,99.4,81.7
6,18-12756,59.1,83.7,130.1,37,0.8,11.2,68.0,66.5,74.4,83.7,83.9,84.7,82.8,87.8,88.0,94.0,98.4,100.8,84.4
7,18-12809,58.9,81.6,131,38.3,0.8,9.8,55.6,65.7,69.0,50.2,81.3,83.7,82.1,84.0,79.7,94.7,97.0,101.8,78.7
8,18-13748,59.5,78.5,130.8,38.1,0.7,9.7,62.2,56.2,72.3,83.6,82.4,83.8,82.1,85.7,77.8,93.4,96.6,100.6,81.4
9,18-13756,58.9,75.4,131,37.6,0.8,9.5,55.3,52.4,69.4,59.0,79.2,81.0,80.6,81.8,86.1,87.4,91.6,95.0,76.6
10,18-13765,59.3,89.8,130.3,38.7,0.9,11.7,76.0,79.5,76.0,89.1,86.5,86.5,94.6,91.3,92.6,95.1,102.9,102.5,89.4
11,18-13852,58.7,87,133.3,37.8,1.2,16,69.5,76.0,73.7,79.1,84.9,85.6,88.1,89.0,81.5,97.1,99.4,102.6,85.5
12,18-13965,59.2,74.2,131.3,36.6,0.7,9.2,61.1,51.7,70.4,86.9,79.9,80.7,79.0,83.0,83.5,85.6,92.4,91.8,78.8
13,18-14535,58.5,87.9,130.3,36.6,0.9,11,74.0,71.7,75.6,90.3,86.1,86.3,87.7,90.6,96.9,96.9,102.6,102.4,88.4
14,18-15372,59.2,81.6,129.2,37.5,0.9,12.9,63.5,62.5,72.3,63.8,82.8,84.1,83.8,86.3,85.6,95.5,97.3,99.8,81.4
15,18-16828,58.9,78.9,131.3,37.4,1.2,11.9,59.5,65.1,71.0,72.7,80.3,81.7,78.1,83.4,78.6,87.4,92.9,95.7,78.9
16,18-17119,58.6,82.6,129.3,37.3,1.4,17.2,65.6,67.7,72.5,71.8,82.8,83.7,88.8,86.5,83.1,92.7,96.8,98.0,82.5
17,18-17905,58.7,89.5,130.1,37.4,1.3,18.6,77.3,74.5,76.3,93.2,87.4,87.4,91.7,92.3,96.0,96.6,105.3,104.8,90.2
18,18-22132,60,84.1,130.7,37.9,0.7,10.6,71.3,70.9,75.3,88.0,83.6,83.5,86.9,87.8,89.2,90.9,96.8,95.7,85.0
