"","observationUnitName","germplasmDbId","variable","value","resids"
"436","Adv_Brt_15-plot1076","95625","Grain.yield...bu.ac",77.2,3.36741889164948
"110","Adv_Brt_15-plot1110","95783","Grain.test.weight...lbs.bu",54.9,-4.51148215464989
"731","Adv_Brt_16-plot1011","84801","Plant.height.inches",39.00002106,3.19324970495583
"739","Adv_Brt_16-plot1019","94981","Plant.height.inches",41.00002214,-3.37945783512395
"26","Adv_Brt_16-plot1026","95568","Grain.test.weight...lbs.bu",56.4,3.19324970495584
"795","Adv_Brt_16-plot1075","84930","Plant.height.inches",42.00002268,3.0150882424766
"446","Adv_Brt_16-plot1086","96032","Grain.yield...bu.ac",69.2,-3.55761929760318
"180","Adv_Car_15-plot2060","94002","Grain.test.weight...lbs.bu",55.8,-3.44096893763694
"369","Adv_Car_16-plot1009","84898","Grain.yield...bu.ac",12.3,3.01615969007145
"29","Adv_Car_16-plot1029","85211","Grain.test.weight...lbs.bu",NA,3.01615969007145
"389","Adv_Car_16-plot1029","85211","Grain.yield...bu.ac",57.5,3.50565621987783
"749","Adv_Car_16-plot1029","85211","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",1,3.01615969007145
"753","Adv_Car_16-plot1033","95609","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",1,3.01615969007145
"85","Adv_Car_16-plot1085","96004","Grain.test.weight...lbs.bu",NA,-3.10838668507186
"810","Adv_Car_16-plot1090","85217","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",1,3.74456473221745
"819","Adv_Car_16-plot1099","84727","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",8,-3.10838668507186
"410","Adv_Car_19-plot1050","96954","Grain.yield...bu.ac",87.1,-3.44054249110469
"56","Adv_Car_19-plot1056","96993","Grain.test.weight...lbs.bu",56.7,-4.27362352988614
"538","Adv_Car_19-plot2058","84655","Grain.yield...bu.ac",90,-3.03930124071937
"748","Adv_Neo_17-plot1028","84769","Plant.height.inches",45.0000243,3.9928090555222
"405","Adv_Neo_17-plot1045","85051","Grain.yield...bu.ac",85.7,-3.48216117528082
